surgery	Age	Hospital Number	rectal temperature	pulse	respiratory rate	temperature of extremitie	peripheral pulse	mucous membranes	capillary refill time	pain	peristalsis	abdominal distension	nasogastric tube	nasogastric reflux	nasogastric reflux PH	rectal examination - fece	abdomen	packed cell volume	total protein	abdominocentesis appearan	abdomcentesis total prote	outcome	surgical lesion	site of lesion	type of lesion	subtype of lesion	pathology_cp_data
_2	_1	_528926	38.00	42.00	12.00	_3	?	_3	_1	_1	?	_1	?	?	4.96	?	_2	37.00	5.80	?	2.95	_1	_2	_3111	_0	_0	_2
_1	_1	_534922	38.13	60.00	40.00	_3	?	_1	_1	?	_4	?	_3	_2	4.96	?	_5	42.00	72.00	?	2.95	_1	_1	_3111	_0	_0	_2
_2	_1	_527642	38.40	80.00	60.00	_3	_2	_2	_1	_3	_2	_1	_2	_2	4.96	_1	_1	54.00	6.90	?	2.95	_1	_2	_0	_0	_0	_2
_2	_1	_5279820	37.80	48.00	12.00	_2	_1	_2	_1	_3	?	_1	_2	?	4.96	_2	?	48.00	7.30	_1	2.95	_1	_2	_0	_0	_0	_1
?	_1	_534790	38.00	65.00	40.00	?	_1	_4	_2	_2	?	?	?	?	4.96	?	_5	45.66	24.77	?	2.95	?	_1	_3111	_3205	_0	_2
_2	_1	_5275210	37.90	45.00	36.00	_3	_3	_3	_2	_2	_3	_1	_2	_1	4.96	_3	?	33.00	5.70	_3	2.95	_1	_1	_2205	_0	_0	_1
_2	_1	_5278330	39.00	84.00	12.00	_3	_1	_5	_1	_2	_4	_2	_1	_2	7.00	?	_4	62.00	5.90	_2	2.20	_2	_1	_2208	_0	_0	_1
_2	_1	_528959	38.20	60.00	24.00	_3	_1	_3	_2	_3	_3	_2	_3	_3	4.96	_4	_4	53.00	7.50	_2	1.40	_1	_2	_1124	_0	_0	_1
_1	_1	_534921	38.13	140.00	30.52	?	?	_4	_2	_5	_4	_4	_1	_1	4.96	?	_5	30.00	69.00	?	2.95	_2	_2	_6112	_0	_0	_2
_1	_1	_528999	37.90	120.00	60.00	_3	_3	_3	_1	_5	_4	_4	_2	_2	7.50	_4	_5	52.00	6.60	_3	1.80	_2	_1	_3205	_0	_0	_1
_2	_1	_528067	38.00	72.00	36.00	_1	_1	_3	_1	_3	?	_2	_2	_1	4.96	_3	_5	38.00	6.80	_2	2.00	_1	_2	_3124	_0	_0	_1
_2	_9	_5291330	38.00	92.00	28.00	_1	_1	_2	_1	_1	_3	_2	_3	?	7.20	?	?	37.00	6.10	_1	1.10	_1	_2	_0	_0	_0	_1
_1	_1	_529478	38.30	66.00	30.00	_2	_3	_1	_1	_2	_4	_3	_3	_2	8.50	_4	_5	37.00	6.00	?	2.95	_1	_1	_5111	_0	_0	_2
_2	_1	_529991	37.50	48.00	24.00	_3	_1	_1	_1	_2	_1	?	_1	_1	4.96	_3	_2	43.00	6.00	_1	2.80	_1	_2	_7111	_0	_0	_1
_1	_1	_530033	37.50	88.00	20.00	_2	_3	_3	_1	_4	_3	_3	?	?	4.96	?	?	35.00	6.40	_1	2.95	_2	_1	_2205	_0	_0	_2
_2	_9	_5299050	38.13	150.00	60.00	_4	_4	_4	_2	_5	_4	_4	?	?	4.96	?	?	45.66	24.77	?	2.95	_2	_1	_1400	_0	_0	_2
_1	_1	_534497	39.70	100.00	30.00	?	?	_6	_2	_4	_4	_3	_1	?	4.96	_4	_5	65.00	75.00	?	2.95	_3	_1	_3205	_0	_0	_2
_1	_1	_528369	38.30	80.00	30.52	_3	_3	_4	_2	_5	_4	_3	_2	_1	4.96	_4	_4	45.00	7.50	_2	4.60	_1	_1	_3209	_0	_0	_1
_2	_1	_530107	37.50	40.00	32.00	_3	_1	_3	_1	_3	_2	_3	_2	_1	4.96	?	_5	32.00	6.40	_1	1.10	_1	_1	_3124	_0	_0	_1
_1	_1	_530239	38.40	84.00	30.00	_3	_1	_5	_2	_4	_3	_3	_2	_3	6.50	_4	_4	47.00	7.50	_3	2.95	_2	_1	_6111	_0	_0	_2
_1	_1	_530505	38.10	84.00	44.00	_4	?	_4	_2	_5	_3	_1	_1	_3	5.00	?	_4	60.00	6.80	?	5.70	_2	_1	_2209	_0	_0	_1
_2	_1	_529567	38.70	52.00	30.52	_1	_1	_1	_1	_1	_3	_1	?	?	4.96	_1	_3	4.00	74.00	?	2.95	_1	_2	_0	_0	_0	_2
_2	_1	_529597	38.10	44.00	40.00	_2	_1	_3	_1	_3	_3	_1	?	?	4.96	_1	_3	35.00	6.80	?	2.95	_1	_2	_0	_0	_0	_2
_2	_1	_534429	38.40	52.00	20.00	_2	_1	_3	_1	_1	_3	_2	_2	_1	4.96	_3	_5	41.00	63.00	_1	1.00	_1	_2	_0	_0	_0	_2
_1	_1	_529629	38.20	60.00	30.52	_1	?	_3	_1	_2	_1	_1	_1	_1	4.96	_4	_4	43.00	6.20	_2	3.90	_1	_1	_2206	_0	_0	_1
_2	_1	_528382	37.70	40.00	18.00	_1	_1	_1	?	_3	_2	_1	_1	_1	4.96	_3	_3	36.00	3.50	?	2.95	_1	_2	_400	_0	_0	_2
_1	_1	_534898	39.10	60.00	10.00	?	_1	_1	?	_2	_3	?	?	?	4.96	_4	_4	45.66	24.77	?	2.95	_1	_1	_2113	_0	_0	_2
_2	_1	_529615	37.80	48.00	16.00	_1	_1	_1	_1	?	_1	_1	_2	_1	4.96	_4	_3	43.00	7.50	?	2.95	_1	_2	_0	_0	_0	_2
_1	_1	_526090	39.00	120.00	30.52	_4	_3	_5	_2	_2	_4	_3	_2	_3	8.00	?	?	65.00	8.20	_3	4.60	_1	_2	_5110	_0	_0	_2
_1	_1	_529765	38.20	76.00	30.52	_2	_3	_2	_1	_5	_3	_3	_1	_2	6.00	_1	_5	35.00	6.50	_2	0.90	_1	_1	_3205	_0	_0	_1
_2	_1	_528310	38.30	88.00	30.52	?	?	_6	?	?	?	?	?	?	4.96	?	?	45.66	24.77	?	2.95	_2	_2	_2300	_0	_0	_2
_1	_1	_529925	38.00	80.00	30.00	_3	_3	_3	_1	?	?	?	?	?	6.00	?	?	48.00	8.30	?	4.30	_1	_1	_2111	_0	_0	_2
_1	_1	_527807	38.13	70.76	30.52	_3	_1	_1	_1	_2	_3	_3	_1	_3	6.00	_4	_4	45.66	24.77	_2	2.95	_2	_1	_2113	_0	_0	_1
_1	_1	_5281440	37.60	40.00	30.52	_1	_1	_1	_1	_1	_1	_1	?	?	4.96	_1	_1	45.66	24.77	_2	2.10	_1	_1	_31110	_0	_0	_1
_2	_1	_530695	37.50	44.00	30.52	_1	_1	_1	_1	_3	_3	_2	?	?	4.96	?	?	45.00	5.80	_2	1.40	_1	_2	_3111	_0	_0	_1
_2	_1	_533889	38.20	42.00	16.00	_1	_1	_3	_1	_1	_3	_1	?	?	4.96	_1	?	35.00	60.00	_1	1.00	_1	_2	_0	_0	_0	_2
_2	_1	_533815	38.00	56.00	44.00	_3	_3	_3	?	?	_1	_1	_2	_1	4.96	_4	?	47.00	70.00	_2	1.00	_1	_2	_0	_0	_0	_2
_2	_1	_527664	38.30	45.00	20.00	_3	_3	_2	_2	_2	_4	_1	_2	?	4.96	_4	?	45.66	24.77	?	2.95	_1	_2	_0	_0	_0	_2
_1	_1	_5262540	38.13	48.00	96.00	_1	_1	_3	_1	?	_4	_1	_2	_1	4.96	_1	_4	42.00	8.00	_1	2.95	_1	_1	_2208	_0	_0	_2
_1	_1	_528268	37.70	55.00	28.00	_2	_1	_2	_1	_2	_3	_3	?	_3	5.00	_4	_5	45.66	24.77	?	2.95	_1	_1	_3209	_0	_0	_2
_2	_1	_528919	36.00	100.00	20.00	_4	_3	_6	_2	_2	_4	_3	_1	_1	4.96	_4	_5	74.00	5.70	_2	2.50	_3	_1	_3205	_0	_0	_1
_1	_1	_527494	37.10	60.00	20.00	_2	?	_4	_1	_3	?	_3	?	_2	5.00	_3	_4	64.00	8.50	_2	2.95	_1	_1	_7111	_0	_0	_1
_2	_1	_529980	37.10	114.00	40.00	_3	?	_3	_2	_2	_2	_1	?	?	4.96	?	_3	32.00	24.77	_3	6.50	_1	_2	_400	_0	_0	_2
_1	_1	_533954	38.10	72.00	30.00	_3	_3	_3	_1	_4	_4	_3	_2	_1	4.96	_3	_5	37.00	56.00	_3	1.00	_1	_1	_4206	_0	_0	_2
_1	_1	_5281090	37.00	44.00	12.00	_3	_1	_1	_2	_1	_1	_1	?	?	4.96	_4	_2	40.00	6.70	_3	8.00	_1	_1	_2208	_0	_0	_2
_1	_1	_534686	38.60	48.00	20.00	_3	_1	_1	_1	_4	_3	_1	?	?	4.96	_3	?	37.00	75.00	?	2.95	_1	_1	_3111	_0	_0	_2
_1	_1	_534475	38.13	82.00	72.00	_3	_1	_4	_1	_2	_3	_3	?	_3	4.96	_4	_4	53.00	65.00	_3	2.00	_3	_1	_2209	_3205	_0	_2
_1	_9	_5274920	38.20	78.00	60.00	_4	_4	_6	?	_3	_3	_3	?	?	4.96	_1	?	59.00	5.80	_3	3.10	_2	_1	_1400	_0	_0	_1
_2	_1	_533815	37.80	60.00	16.00	_1	_1	_3	_1	_2	_3	_2	_1	_2	4.96	_3	?	41.00	73.00	?	2.95	_3	_2	_4124	_0	_0	_2
_1	_1	_534156	38.70	34.00	30.00	_2	?	_3	_1	_2	_3	?	?	?	4.96	?	?	33.00	69.00	?	2.00	_3	_1	_7113	_0	_0	_2
_1	_1	_514279	38.13	36.00	12.00	_1	_1	_1	_1	_1	_2	_1	_1	_1	4.96	_1	_5	44.00	24.77	?	2.95	_1	_1	_31110	_0	_0	_1
_2	_1	_528433	38.30	44.00	60.00	?	?	_1	_1	?	?	?	?	?	4.96	?	?	6.40	36.00	?	2.95	_1	_1	_0	_0	_0	_2
_2	_1	_527465	37.40	54.00	18.00	_3	?	_1	_1	_3	_4	_3	_2	_2	4.96	_4	_5	30.00	7.10	_2	2.95	_1	_1	_7111	_0	_0	_1
_1	_1	_534268	38.13	70.76	30.52	_4	_3	?	_2	_2	_4	_1	?	?	4.96	?	?	54.00	76.00	_3	2.00	_1	_1	_8405	_0	_0	_2
_1	_1	_535337	36.60	48.00	16.00	_3	_1	_3	_1	_4	_1	_1	_1	_1	4.96	?	?	27.00	56.00	?	2.95	_3	_1	_4206	_0	_0	_2
_1	_1	_534111	38.50	90.00	30.52	_1	_1	_3	_1	_3	_3	_3	_2	_3	2.00	_4	_5	47.00	79.00	?	2.95	_1	_1	_6112	_0	_0	_2
_1	_1	_530576	38.13	75.00	12.00	_1	_1	_4	_1	_5	_3	_3	?	_3	5.80	?	?	58.00	8.50	_1	2.95	_1	_1	_2209	_0	_0	_1
_2	_1	_529930	38.20	42.00	30.52	_3	_1	_1	_1	_1	_1	_2	_2	_1	4.96	_3	_2	35.00	5.90	_2	2.95	_1	_2	_3113	_0	_0	_2
_1	_9	_5274920	38.20	78.00	60.00	_4	_4	_6	?	_3	_3	_3	?	?	4.96	_1	?	59.00	5.80	_3	3.10	_2	_1	_2205	_0	_0	_1
_2	_1	_529695	38.60	60.00	30.00	_1	_1	_3	_1	_4	_2	_2	_1	_1	4.96	?	?	40.00	6.00	_1	2.95	_1	_1	_3205	_0	_0	_2
_2	_1	_528452	37.80	42.00	40.00	_1	_1	_1	_1	_1	_3	_1	?	?	4.96	_3	_3	36.00	6.20	?	2.95	_1	_2	_4124	_0	_0	_2
_1	_1	_534783	38.00	60.00	12.00	_1	_1	_2	_1	_2	_1	_1	_1	_1	4.96	_1	_4	44.00	65.00	_3	2.00	_3	_1	_2209	_0	_0	_2
_2	_1	_528926	38.00	42.00	12.00	_3	?	_3	_1	_1	_1	_1	?	?	4.96	?	_1	37.00	5.80	?	2.95	_1	_2	_3111	_0	_0	_2
_2	_1	_530670	37.60	88.00	36.00	_3	_1	_1	_1	_3	_3	_2	_1	_3	1.50	?	?	44.00	6.00	?	2.95	_2	_1	_2112	_0	_0	_2
