a01	a02	a03	a04	a05	a06	a07	a08	a09	a10	a11	a12	a13	a14	a15	a16	a17	a18	a19	a20	a21	a22	a23	a24	a25	a26	a27	a28	a29	a30	a31	a32	a33	a34	class
1.00	0.00	1.00	0.64	1.00	1.00	0.77	1.00	-0.33	1.00	-1.00	1.00	0.00	1.00	-1.00	1.00	-1.00	0.00	-1.00	-0.67	-1.00	-0.93	-1.00	-0.33	-0.33	-1.00	0.19	-1.00	1.00	-1.00	0.00	-1.00	1.00	-0.67	g
0.00	0.00	-1.00	1.00	-1.00	-1.00	0.00	0.00	-1.00	1.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00	0.00	0.00	-1.00	-1.00	-1.00	1.00	0.00	0.00	1.00	-1.00	1.00	1.00	1.00	-1.00	1.00	1.00	0.00	0.00	b
1.00	0.00	1.00	0.07	1.00	0.14	1.00	0.22	1.00	-0.13	1.00	0.39	1.00	0.49	1.00	0.59	-0.38	1.00	1.00	0.00	1.00	0.92	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.25	1.00	1.00	1.00	1.00	g
0.00	0.00	-1.00	-1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	-1.00	0.00	0.00	-1.00	-1.00	0.00	0.00	1.00	1.00	1.00	-1.00	1.00	-1.00	0.00	0.00	0.00	0.00	0.00	0.00	b
1.00	0.00	0.65	-0.08	0.58	-0.14	-0.13	-0.21	0.30	0.04	0.38	-0.26	0.29	-0.32	0.03	-0.19	0.20	-0.29	0.15	-0.29	0.10	-0.32	0.07	-0.27	0.03	-0.25	0.00	-0.23	-0.03	-0.21	-0.05	-0.19	0.01	-0.27	g
1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	-0.33	0.17	0.26	0.00	0.00	0.00	0.00	0.00	0.00	-0.20	-0.22	-0.17	0.91	-1.00	0.50	0.04	0.75	-0.23	-1.00	-0.13	-0.27	-0.20	-0.94	b
1.00	0.00	1.00	0.05	0.99	0.10	0.96	0.15	0.96	-0.26	0.66	0.55	0.80	0.25	0.74	0.27	0.67	0.29	0.60	0.29	0.52	0.29	0.46	0.28	0.39	0.27	0.33	0.26	0.27	0.24	0.22	0.21	0.18	0.19	g
1.00	0.00	1.00	-0.10	-1.00	-1.00	-1.00	-1.00	1.00	0.32	0.81	0.76	-1.00	-1.00	-1.00	1.00	0.47	1.00	1.00	1.00	0.69	-1.00	-1.00	-1.00	0.83	0.37	1.00	1.00	1.00	0.51	-1.00	-0.33	-1.00	0.73	b
1.00	0.00	0.94	0.00	0.61	0.43	0.92	-0.40	0.93	0.17	0.96	0.09	1.00	0.08	0.92	0.05	0.85	-0.25	0.87	-0.14	0.85	0.26	0.75	-0.04	0.85	-0.03	0.87	-0.02	0.99	0.09	0.78	-0.10	0.86	-0.15	g
1.00	0.00	1.00	-1.00	1.00	1.00	1.00	1.00	1.00	-0.50	1.00	1.00	1.00	1.00	1.00	1.00	0.00	0.00	1.00	1.00	1.00	1.00	1.00	-1.00	1.00	1.00	1.00	0.63	1.00	-0.75	-0.75	1.00	1.00	1.00	b
1.00	0.00	1.00	0.23	1.00	-0.79	1.00	-0.10	1.00	0.15	1.00	0.28	0.98	-0.07	1.00	0.07	0.96	-0.19	0.84	-0.16	0.97	0.04	1.00	0.09	1.00	-0.01	0.96	-0.05	0.91	0.04	1.00	-0.14	0.97	-0.12	g
1.00	0.00	0.37	-1.00	-1.00	-1.00	-0.08	1.00	1.00	0.95	0.75	-0.39	-1.00	-0.79	-0.10	1.00	0.49	0.47	0.32	-0.27	-0.14	-0.20	-0.12	0.07	0.03	0.07	0.03	-0.01	0.00	-0.02	-0.01	0.00	0.00	0.00	b
1.00	0.00	0.80	0.38	0.81	-0.17	1.00	-0.08	0.98	-0.07	0.70	0.21	1.00	0.02	0.98	0.02	1.00	-0.13	0.96	0.08	1.00	0.00	0.90	0.31	1.00	-0.15	1.00	0.00	0.76	0.08	1.00	-0.19	1.00	-0.06	g
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	1.00	1.00	-1.00	0.00	0.00	1.00	1.00	1.00	-1.00	1.00	1.00	1.00	0.00	1.00	1.00	1.00	-1.00	0.00	0.00	b
1.00	0.00	1.00	-0.28	1.00	-0.25	0.95	-0.35	1.00	-0.31	0.93	-0.49	0.91	-0.44	0.76	-0.59	0.70	-0.58	0.60	-0.58	0.68	-0.71	0.54	-0.87	0.49	-0.73	0.36	-0.76	0.26	-0.78	0.17	-0.73	0.14	-0.70	g
1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.85	-1.00	0.00	0.00	1.00	-1.00	0.00	0.00	-1.00	-1.00	-1.00	-1.00	1.00	-1.00	-0.60	-1.00	1.00	1.00	-1.00	-0.20	1.00	-1.00	0.00	1.00	0.00	0.00	b
1.00	0.00	1.00	0.09	0.95	-0.09	0.77	0.00	1.00	0.00	0.95	0.00	1.00	0.05	0.91	-0.05	1.00	0.00	1.00	0.00	0.86	0.09	0.77	0.09	0.91	0.05	0.92	0.03	0.95	0.09	0.86	-0.09	0.86	0.05	g
0.00	0.00	0.00	0.00	-1.00	1.00	1.00	1.00	-1.00	-1.00	0.00	0.00	-1.00	-1.00	-1.00	-0.31	-1.00	-1.00	1.00	-1.00	1.00	-1.00	0.00	0.00	1.00	-1.00	-1.00	-1.00	0.00	0.00	1.00	-1.00	0.00	0.00	b
1.00	0.00	0.91	-0.09	0.97	0.18	0.82	0.09	0.91	-0.03	0.97	-0.18	0.97	0.15	0.94	0.03	1.00	0.00	1.00	0.00	0.76	0.12	0.88	0.03	0.85	0.03	0.93	0.03	0.94	-0.12	0.97	0.06	0.91	0.06	g
1.00	0.00	-1.00	1.00	-1.00	0.15	0.28	1.00	-1.00	1.00	-1.00	-1.00	1.00	1.00	-1.00	-0.23	0.28	-1.00	1.00	1.00	-0.31	-1.00	-1.00	-1.00	1.00	-1.00	-1.00	-0.04	1.00	-1.00	-1.00	-0.32	0.15	1.00	b
1.00	0.00	0.47	-0.11	0.84	0.02	0.83	0.03	0.68	-0.05	0.68	0.00	0.80	0.05	0.78	0.06	0.84	0.47	1.00	0.05	0.73	0.08	0.70	0.08	0.42	0.21	0.65	0.09	0.53	-0.21	0.60	0.10	0.57	0.10	g
1.00	0.00	-0.01	-0.50	0.00	0.00	-0.02	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.31	0.93	-0.35	0.74	-0.35	-0.81	0.00	0.00	-0.62	-0.51	0.00	0.00	0.00	0.00	0.00	0.00	b
1.00	0.00	1.00	0.45	1.00	0.55	0.82	0.64	1.00	-0.09	1.00	0.00	0.82	-0.45	0.64	0.27	1.00	-0.64	1.00	-0.27	0.91	-0.45	1.00	0.08	1.00	-0.09	1.00	0.09	1.00	0.36	1.00	0.64	0.73	0.27	g
0.00	0.00	-1.00	-1.00	1.00	-1.00	-1.00	1.00	0.00	0.00	1.00	-1.00	1.00	-1.00	0.00	0.00	0.00	0.00	0.00	0.00	-1.00	1.00	1.00	-1.00	-1.00	1.00	1.00	1.00	0.00	0.00	1.00	0.50	0.00	0.00	b
1.00	0.00	0.45	0.09	0.64	0.09	0.27	0.18	0.64	0.00	0.36	-0.09	0.45	-0.09	0.49	-0.01	0.64	-0.18	0.45	0.00	0.36	-0.09	0.27	0.18	0.36	-0.09	0.34	-0.02	0.27	0.00	0.36	0.00	0.29	-0.02	g
1.00	0.00	-1.00	-0.60	0.00	0.00	-1.00	0.65	-0.87	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-1.00	-1.00	0.00	0.00	0.30	0.23	1.00	0.52	0.00	0.00	0.00	0.00	0.00	0.00	b
1.00	0.00	1.00	0.14	1.00	0.71	1.00	0.71	1.00	-0.14	0.86	-0.14	1.00	0.03	1.00	0.00	0.43	-0.14	1.00	0.04	1.00	-0.29	1.00	0.00	0.29	-0.29	1.00	0.05	1.00	0.05	1.00	0.57	1.00	0.00	g
0.00	0.00	1.00	1.00	1.00	-1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	-1.00	1.00	1.00	1.00	-1.00	1.00	-1.00	1.00	1.00	1.00	1.00	1.00	-1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	b
1.00	0.00	0.87	0.47	0.54	0.82	0.10	0.95	-0.38	0.88	-0.74	0.58	-0.92	0.17	-0.82	-0.25	-0.59	-0.63	-0.24	-0.83	0.19	-0.79	0.52	-0.57	0.69	-0.25	0.69	0.10	0.53	0.40	0.26	0.57	-0.07	0.58	g
0.00	0.00	1.00	-1.00	1.00	1.00	1.00	-1.00	1.00	1.00	1.00	-1.00	1.00	-1.00	1.00	-1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	-1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	-1.00	b
1.00	0.00	0.93	0.04	0.89	0.16	0.86	0.20	0.84	0.37	0.81	0.40	0.76	0.41	0.67	0.48	0.60	0.52	0.53	0.52	0.48	0.54	0.43	0.56	0.33	0.55	0.27	0.54	0.22	0.53	0.14	0.49	0.12	0.47	g
0.00	0.00	1.00	1.00	1.00	-1.00	1.00	-1.00	1.00	1.00	0.00	0.00	1.00	-1.00	0.00	0.00	0.00	0.00	0.00	0.00	-1.00	1.00	1.00	1.00	0.00	0.00	1.00	1.00	0.00	0.00	-1.00	-1.00	0.00	0.00	b
1.00	0.00	0.94	0.14	0.94	0.25	0.86	0.39	0.79	0.47	0.72	0.60	0.65	0.75	0.51	0.74	0.42	0.83	0.26	0.86	0.14	0.86	0.00	0.89	-0.07	0.80	-0.21	0.78	-0.33	0.71	-0.39	0.64	-0.47	0.56	g
0.00	0.00	1.00	-1.00	-1.00	1.00	-1.00	1.00	1.00	1.00	1.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00	1.00	1.00	-1.00	-1.00	-1.00	-1.00	-1.00	1.00	0.00	1.00	-1.00	1.00	-1.00	-1.00	1.00	-1.00	1.00	b
1.00	0.00	0.81	0.13	0.73	0.24	0.65	0.19	0.37	0.46	0.45	0.46	0.25	0.57	0.25	0.37	0.15	0.52	-0.10	0.57	-0.03	0.43	-0.09	0.44	-0.15	0.40	-0.20	0.35	-0.24	0.30	-0.27	0.24	-0.24	0.31	g
0.00	0.00	1.00	-1.00	1.00	1.00	1.00	-1.00	1.00	1.00	1.00	-1.00	1.00	1.00	1.00	-1.00	1.00	-1.00	1.00	1.00	1.00	1.00	1.00	-1.00	1.00	-1.00	1.00	-1.00	1.00	1.00	1.00	-1.00	1.00	1.00	b
1.00	0.00	0.97	0.13	0.94	0.20	0.89	0.32	0.89	0.33	0.86	0.45	0.72	0.52	0.70	0.59	0.59	0.67	0.49	0.70	0.44	0.68	0.35	0.76	0.27	0.76	0.17	0.79	0.07	0.80	-0.03	0.78	-0.10	0.74	g
0.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	1.00	1.00	0.00	0.00	1.00	-1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	-1.00	0.00	0.00	-1.00	1.00	0.00	0.00	b
1.00	0.00	0.92	0.15	0.86	0.30	0.73	0.37	0.71	0.57	0.57	0.63	0.43	0.75	0.32	0.68	0.19	0.77	0.05	0.76	-0.12	0.77	-0.18	0.71	-0.29	0.66	-0.39	0.59	-0.47	0.50	-0.53	0.41	-0.56	0.35	g
0.00	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00	-1.00	-1.00	0.00	0.00	-1.00	-1.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	1.00	1.00	0.00	0.00	-1.00	1.00	0.00	0.00	b
1.00	0.00	0.89	0.38	0.66	0.69	0.29	0.88	-0.07	0.90	-0.40	0.80	-0.65	0.57	-0.83	0.27	-0.79	-0.08	-0.63	-0.31	-0.47	-0.56	-0.16	-0.64	0.10	-0.61	0.30	-0.48	0.43	-0.30	0.47	-0.09	0.42	0.13	g
0.00	0.00	1.00	-1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	-1.00	1.00	1.00	1.00	1.00	1.00	-1.00	1.00	-1.00	1.00	-1.00	1.00	-1.00	1.00	1.00	1.00	-1.00	1.00	1.00	1.00	1.00	b
1.00	0.00	0.74	-0.38	0.80	0.10	0.79	0.15	0.56	0.05	1.00	0.21	0.72	0.29	0.69	0.33	0.50	0.17	0.64	-0.03	0.57	0.43	0.53	0.45	0.95	0.58	0.44	0.48	0.12	1.00	0.35	0.50	0.31	0.50	g
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	b
1.00	0.00	0.95	0.01	0.97	0.00	0.99	0.00	0.96	0.02	0.94	0.04	0.97	0.05	0.99	0.02	0.94	0.07	0.99	-0.01	0.98	0.05	0.96	0.07	0.93	0.08	0.95	0.04	0.97	0.01	0.98	0.07	1.00	0.00	g
0.00	0.00	1.00	1.00	-1.00	-1.00	-1.00	-1.00	0.00	0.00	0.00	0.00	-1.00	-1.00	0.00	0.00	0.00	0.00	0.00	0.00	-1.00	1.00	1.00	1.00	0.00	0.00	1.00	-1.00	0.00	0.00	-1.00	-1.00	-1.00	-1.00	b
1.00	0.00	0.50	-0.17	0.71	0.02	0.71	0.02	0.68	0.01	0.35	0.06	0.69	0.04	0.68	0.05	0.67	0.06	0.63	-0.05	0.65	0.07	0.63	0.07	0.84	0.18	0.60	0.08	0.38	0.07	0.56	0.09	0.55	0.09	g
1.00	0.00	0.69	1.00	0.92	-0.76	0.82	0.04	0.76	0.11	0.87	0.74	0.70	0.18	0.76	0.14	0.93	-0.25	0.71	0.19	0.65	0.25	0.60	0.77	1.00	-0.54	0.89	0.22	0.71	0.54	1.00	-0.07	0.57	0.24	b
1.00	0.00	0.76	-0.08	1.00	-0.30	1.00	-0.86	0.80	0.06	0.46	-0.43	1.00	-0.13	1.00	-0.84	0.49	0.02	0.82	-0.06	0.98	-0.20	1.00	0.22	0.70	-0.26	0.92	-0.25	0.79	0.02	0.87	-0.27	1.00	-0.57	g
1.00	0.00	0.39	0.16	0.41	0.07	0.26	0.24	0.23	0.13	0.19	0.25	0.25	0.37	0.09	0.23	-0.04	0.37	0.05	0.25	0.25	0.10	0.08	0.30	-0.02	0.28	-0.06	0.26	-0.15	0.15	-0.09	0.31	-0.19	0.29	b
1.00	0.00	0.58	-0.03	0.75	-0.05	0.62	-0.01	0.54	0.03	0.62	0.10	0.59	-0.02	0.63	0.01	0.71	0.03	0.60	0.02	0.48	-0.03	0.59	0.04	0.50	0.04	0.61	-0.01	0.62	-0.13	0.69	-0.01	0.63	-0.03	g
1.00	0.00	0.06	-0.15	-0.04	0.06	0.08	-0.02	-0.01	0.19	0.06	0.00	0.12	-0.10	0.06	0.00	0.02	-0.03	-0.13	-0.21	0.07	0.01	0.07	0.03	0.08	0.16	0.28	-0.05	-0.06	-0.09	0.04	0.05	0.07	-0.11	b
1.00	0.00	0.62	0.11	0.71	-0.07	0.70	0.02	0.74	0.00	0.71	0.16	0.72	0.00	0.80	0.07	0.84	-0.17	0.69	-0.09	0.63	-0.01	0.61	0.12	0.71	-0.10	0.70	-0.02	0.63	0.05	0.79	-0.05	0.65	-0.05	g
1.00	0.00	0.25	0.36	0.00	0.00	-0.30	-1.00	0.00	0.00	0.08	-0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.68	-0.20	0.34	-0.10	0.36	0.06	-1.00	0.00	0.00	0.06	-1.00	0.00	0.00	b
1.00	0.00	0.88	-0.01	0.90	-0.02	0.94	-0.02	0.89	-0.13	0.82	-0.11	0.89	0.01	0.91	-0.14	0.87	-0.06	0.91	-0.02	0.88	-0.15	0.83	-0.12	0.90	-0.20	0.88	-0.15	0.84	-0.13	0.88	-0.19	0.92	-0.17	g
1.00	0.00	0.43	-0.50	0.00	0.00	0.00	0.00	0.46	0.51	0.59	0.02	0.00	0.00	0.00	0.00	0.16	-0.45	0.59	-0.18	0.00	0.00	0.00	0.00	0.99	-0.41	-1.00	-1.00	-0.28	-0.76	0.00	0.00	0.00	0.00	b
1.00	0.00	0.89	0.02	0.92	0.01	0.92	0.01	0.89	-0.10	0.90	-0.08	0.93	-0.01	0.93	-0.09	0.86	-0.05	0.89	-0.04	0.88	-0.12	0.89	-0.12	0.83	-0.14	0.86	-0.12	0.86	-0.13	0.84	-0.12	0.87	-0.12	g
1.00	0.00	0.00	0.00	1.00	0.13	0.88	-0.02	0.00	0.00	1.00	-0.42	1.00	0.20	1.00	-0.05	1.00	-0.82	0.00	0.00	1.00	-0.04	1.00	-0.19	0.00	0.00	1.00	-1.00	0.00	0.00	1.00	0.12	0.91	-0.10	b
1.00	0.00	0.81	0.04	0.85	0.00	0.79	0.01	0.80	-0.04	0.88	0.00	0.86	-0.07	0.86	0.00	0.83	-0.05	0.81	-0.12	0.77	-0.08	0.84	-0.05	0.77	-0.07	0.82	-0.09	0.83	-0.10	0.81	-0.05	0.82	-0.15	g
1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-1.00	1.00	1.00	0.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	b
1.00	0.00	0.50	0.02	0.43	-0.10	0.51	-0.04	0.50	0.10	0.45	0.06	0.56	-0.12	0.52	-0.04	0.53	-0.06	0.55	-0.01	0.49	-0.03	0.49	-0.01	0.59	0.00	0.53	-0.03	0.43	0.03	0.55	-0.05	0.59	-0.09	g
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	-1.00	0.00	0.00	0.00	0.00	0.00	0.00	b
1.00	0.00	1.00	0.50	1.00	0.25	0.25	1.00	0.17	0.91	-0.13	0.80	-0.34	0.61	-0.44	0.38	-0.44	0.17	-0.37	0.01	-0.26	-0.09	-0.16	-0.13	-0.08	-0.13	-0.02	-0.10	0.01	-0.07	0.02	-0.04	0.02	-0.02	g
1.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	-1.00	-1.00	0.00	0.00	1.00	-0.11	0.00	0.00	0.00	0.00	-1.00	1.00	1.00	1.00	1.00	-1.00	0.00	0.00	1.00	-1.00	0.00	0.00	0.00	0.00	1.00	1.00	b
1.00	0.00	0.87	0.38	0.64	0.69	0.31	0.87	-0.04	0.91	-0.42	0.79	-0.71	0.52	-0.81	0.23	-0.81	-0.13	-0.67	-0.38	-0.38	-0.63	-0.13	-0.71	0.16	-0.66	0.39	-0.52	0.53	-0.30	0.56	-0.06	0.51	0.17	g
1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-1.00	1.00	0.00	0.00	1.00	0.37	-0.12	-0.12	0.00	0.00	-1.00	-1.00	0.00	0.00	1.00	-1.00	0.00	0.00	1.00	0.23	0.00	0.00	0.00	0.00	0.00	0.00	b
1.00	0.00	0.88	0.43	0.60	0.78	0.20	0.95	-0.24	0.93	-0.63	0.71	-0.86	0.34	-0.92	-0.05	-0.77	-0.45	-0.47	-0.73	-0.10	-0.82	0.26	-0.78	0.56	-0.56	0.72	-0.24	0.72	0.10	0.58	0.39	0.35	0.58	g
1.00	0.00	0.33	0.03	0.15	0.21	0.15	0.74	-0.26	0.92	-0.10	0.19	-0.61	0.26	-0.94	-0.05	-0.13	-0.14	-0.30	-0.45	-0.11	-0.86	0.03	-0.23	0.28	-0.06	0.34	-0.12	0.28	-0.11	0.15	0.13	0.12	0.20	g
1.00	0.00	0.83	0.39	0.54	0.79	0.12	0.89	-0.33	0.84	-0.70	0.60	-0.87	0.22	-0.84	-0.24	-0.60	-0.62	-0.19	-0.88	0.12	-0.89	0.51	-0.72	0.79	-0.28	0.83	0.09	0.67	0.49	0.38	0.70	-0.04	0.79	g
1.00	0.00	0.62	-0.03	0.59	0.00	0.60	-0.07	0.63	0.01	0.62	-0.07	0.67	0.07	0.63	-0.08	0.68	0.09	0.67	0.00	0.59	0.10	0.50	0.03	0.66	0.14	0.60	0.02	0.51	0.04	0.62	-0.01	0.61	-0.09	g
1.00	0.00	0.74	-0.02	0.71	0.03	0.72	0.17	0.79	0.08	0.81	0.44	0.64	0.01	0.71	0.22	1.00	0.06	0.61	0.05	0.67	0.04	0.52	-0.25	0.73	-0.16	0.62	0.07	0.31	0.09	0.56	0.07	0.60	0.22	g
1.00	0.00	0.62	0.19	0.78	0.02	0.77	0.03	0.65	-0.10	0.78	0.08	0.74	0.05	0.72	0.06	0.69	-0.09	0.62	0.16	0.66	0.08	0.64	0.08	0.60	-0.07	0.59	0.09	0.55	0.26	0.53	0.09	0.51	0.09	g
1.00	0.00	0.68	0.05	0.85	0.00	0.84	0.00	0.84	0.10	0.76	0.04	0.82	0.01	0.81	0.01	0.81	-0.12	0.78	-0.04	0.76	0.01	0.75	0.01	0.80	-0.04	0.71	0.01	0.62	0.12	0.67	0.01	0.64	0.01	g
1.00	0.00	0.50	0.00	0.39	0.10	0.49	0.07	0.47	-0.04	0.36	-0.13	0.46	0.05	0.50	0.03	0.36	0.20	0.42	0.15	0.42	-0.03	0.32	-0.11	0.47	-0.01	0.42	0.07	0.39	0.04	0.35	0.15	0.45	0.17	g
1.00	0.00	0.80	0.09	0.78	0.21	0.72	0.28	0.69	0.41	0.66	0.50	0.58	0.61	0.49	0.58	0.33	0.68	0.30	0.64	0.10	0.68	0.02	0.72	-0.09	0.63	-0.12	0.61	-0.18	0.56	-0.26	0.52	-0.27	0.42	g
1.00	0.00	1.00	0.10	1.00	0.25	0.98	0.33	0.80	0.53	0.75	0.60	0.57	0.72	0.55	0.74	0.29	0.82	0.21	0.80	0.10	0.82	-0.02	0.80	-0.15	0.76	-0.23	0.69	-0.32	0.61	-0.40	0.55	-0.43	0.45	g
1.00	0.00	0.89	0.13	0.87	0.32	0.79	0.43	0.63	0.60	0.54	0.71	0.40	0.76	0.24	0.80	0.09	0.80	-0.09	0.76	-0.20	0.67	-0.30	0.63	-0.41	0.50	-0.46	0.41	-0.50	0.27	-0.53	0.19	-0.49	0.06	g
1.00	0.00	0.95	0.17	0.91	0.33	0.85	0.50	0.74	0.64	0.59	0.74	0.49	0.84	0.30	0.91	0.18	0.93	-0.01	0.93	-0.19	0.89	-0.33	0.82	-0.47	0.76	-0.59	0.66	-0.68	0.53	-0.75	0.42	-0.81	0.26	g
1.00	0.00	0.92	0.18	0.86	0.36	0.73	0.46	0.60	0.70	0.50	0.75	0.36	0.82	0.16	0.84	0.00	0.85	-0.16	0.78	-0.36	0.76	-0.43	0.65	-0.53	0.54	-0.60	0.41	-0.65	0.27	-0.66	0.14	-0.64	0.05	g
1.00	0.00	0.77	0.21	0.64	0.38	0.48	0.52	0.15	0.22	0.14	0.60	-0.08	0.45	0.00	0.49	-0.27	0.42	-0.56	0.37	-0.37	0.19	-0.41	0.08	-0.38	-0.03	-0.34	-0.12	-0.28	-0.20	-0.20	-0.25	-0.12	-0.27	g
1.00	0.00	0.59	-0.61	0.85	0.55	0.81	0.07	0.57	0.16	0.33	0.24	0.50	0.12	0.64	0.20	0.72	0.43	0.54	0.14	0.65	0.28	0.69	0.07	0.52	0.27	0.49	0.28	0.46	0.29	0.43	0.29	0.41	0.30	g
1.00	0.00	1.00	0.11	0.70	-0.12	0.82	0.10	0.71	0.01	0.56	-0.08	0.69	0.13	0.59	0.04	0.53	-0.03	0.69	0.17	0.73	0.07	0.32	0.06	0.53	0.37	0.49	0.18	0.15	0.32	0.44	0.19	0.56	0.15	g
1.00	0.00	0.85	0.07	0.81	-0.02	0.77	-0.03	0.67	-0.07	0.60	-0.08	0.67	-0.06	0.64	-0.06	0.39	0.05	0.71	0.01	0.56	-0.08	0.53	-0.08	0.47	-0.23	0.49	-0.09	0.53	-0.09	0.44	-0.10	0.42	-0.10	g
1.00	0.00	1.00	0.08	0.97	0.00	0.97	-0.01	0.88	-0.04	1.00	0.01	0.96	-0.01	0.96	-0.02	0.98	0.01	0.91	-0.09	0.95	-0.02	0.95	-0.03	0.98	0.02	0.94	-0.03	1.00	-0.06	0.93	-0.03	0.92	-0.04	g
1.00	0.00	0.48	-0.12	0.43	-0.12	0.70	-0.39	0.73	0.07	0.26	-0.22	0.49	0.16	0.45	-0.12	0.42	0.06	0.50	-0.27	0.55	0.19	0.42	0.08	0.71	0.20	0.53	-0.12	0.15	-0.26	0.47	0.04	0.45	-0.52	g
1.00	0.00	0.64	-0.04	0.77	0.03	0.61	0.36	0.65	0.00	0.64	0.08	0.79	-0.43	0.73	0.55	0.60	0.14	0.64	0.22	0.63	-0.25	0.71	0.15	0.65	0.23	0.69	0.18	0.62	0.08	0.66	0.20	0.69	0.37	g
1.00	0.00	0.50	-0.04	0.61	0.01	0.59	0.02	0.59	0.02	0.67	0.00	0.72	-0.05	0.67	0.01	0.57	0.02	0.65	-0.07	0.57	0.14	0.58	-0.04	0.47	0.05	0.57	0.01	0.48	-0.04	0.55	0.11	0.61	-0.08	g
1.00	0.00	0.72	-0.01	0.67	-0.04	0.63	-0.05	0.78	0.08	0.67	0.10	0.65	0.16	0.60	-0.02	0.54	-0.05	0.47	-0.10	0.65	0.15	0.39	0.22	0.52	-0.06	0.45	0.00	0.31	-0.07	0.49	-0.11	0.30	-0.05	g
1.00	0.00	0.68	0.10	0.77	0.03	0.65	0.08	0.61	0.00	0.79	0.12	0.60	0.05	0.62	0.10	0.78	-0.18	0.74	-0.11	0.49	0.01	0.61	0.08	0.67	-0.13	0.64	-0.02	0.77	0.02	0.61	-0.07	0.51	-0.05	g
1.00	0.00	0.61	-0.03	0.67	0.04	0.53	-0.04	0.51	0.04	0.71	-0.08	0.58	-0.02	0.53	0.08	0.64	0.12	0.57	-0.02	0.53	0.01	0.72	-0.03	0.53	-0.03	0.57	0.01	0.59	0.00	0.59	-0.03	0.50	0.07	g
1.00	0.00	0.50	0.10	0.30	0.06	0.35	0.00	0.57	-0.02	0.58	0.02	0.33	0.05	0.52	0.00	0.47	-0.11	0.43	0.00	0.35	0.06	0.19	0.26	0.31	-0.15	0.37	0.04	0.39	0.17	0.26	0.00	0.37	-0.02	g
1.00	0.00	0.99	0.02	0.93	0.34	0.84	0.35	0.75	0.49	0.74	0.52	0.55	0.60	0.43	0.66	0.32	0.70	0.28	0.69	0.08	0.74	0.06	0.71	-0.16	0.70	-0.17	0.61	-0.16	0.56	-0.35	0.44	-0.33	0.37	g
1.00	0.00	0.98	0.16	0.90	0.35	0.82	0.49	0.72	0.65	0.59	0.74	0.40	0.83	0.25	0.85	0.05	0.85	-0.12	0.80	-0.26	0.81	-0.38	0.72	-0.51	0.58	-0.58	0.46	-0.62	0.31	-0.66	0.18	-0.64	0.03	g
1.00	0.00	1.00	0.22	0.92	0.47	0.77	0.62	0.53	0.78	0.37	0.88	0.10	0.83	-0.07	0.89	-0.28	0.72	-0.44	0.62	-0.56	0.48	-0.65	0.36	-0.65	0.16	-0.67	0.02	-0.65	-0.13	-0.55	-0.23	-0.47	-0.35	g
1.00	0.00	0.94	0.20	0.96	0.41	0.81	0.57	0.57	0.71	0.42	0.83	0.15	0.89	0.05	0.94	-0.25	0.84	-0.43	0.76	-0.50	0.63	-0.66	0.50	-0.69	0.31	-0.77	0.16	-0.75	-0.04	-0.75	-0.18	-0.67	-0.34	g
