surgery	Age	rectal_temperature	pulse	respiratory_rate	temp_extremities	peripheral_pulse	mucous_membranes	capillary_refill_time	pain	peristalsis	abdominal_distension	nasogastric_tube	nasogastric_reflux	nasogastric_reflux_PH	rectal_examination	abdomen	packed_cell_volume	total_protein	abdominocentesis_appearan	abdomcentesis_total_prote	outcome	surgical_lesion
yes	adult	38.13	140.00	30.52	?	?	'pale cyanotic'	'>=3'	'continuous severe pain'	absent	severe	none	none	4.96	?	'distended large intestin	30.00	69.00	?	2.95	died	no
yes	adult	37.90	120.00	60.00	cool	reduced	'pale pink'	'<3'	'continuous severe pain'	absent	severe	slight	'>1l'	7.50	absent	'distended large intestin	52.00	6.60	serosanguinous	1.80	died	yes
no	adult	38.00	72.00	36.00	normal	normal	'pale pink'	'<3'	'intermittent mild pain'	?	slight	slight	none	4.96	decreased	'distended large intestin	38.00	6.80	cloudy	2.00	lived	no
no	young	38.00	92.00	28.00	normal	normal	'bright pink'	'<3'	'alert no pain'	hypomotile	slight	significant	?	7.20	?	?	37.00	6.10	clear	1.10	lived	no
yes	adult	38.30	66.00	30.00	warm	reduced	'normal pink'	'<3'	depressed	absent	moderate	significant	'>1l'	8.50	absent	'distended large intestin	37.00	6.00	?	2.95	lived	yes
no	adult	37.50	48.00	24.00	cool	normal	'normal pink'	'<3'	depressed	hypermotile	?	none	none	4.96	decreased	other	43.00	6.00	clear	2.80	lived	no
yes	adult	37.50	88.00	20.00	warm	reduced	'pale pink'	'<3'	'intermittent severe pain	hypomotile	moderate	?	?	4.96	?	?	35.00	6.40	clear	2.95	died	yes
no	young	38.13	150.00	60.00	cold	absent	'pale cyanotic'	'>=3'	'continuous severe pain'	absent	severe	?	?	4.96	?	?	45.66	24.77	?	2.95	died	yes
yes	adult	39.70	100.00	30.00	?	?	'dark cyanotic'	'>=3'	'intermittent severe pain	absent	moderate	none	?	4.96	absent	'distended large intestin	65.00	75.00	?	2.95	euthanized	yes
yes	adult	38.30	80.00	30.52	cool	reduced	'pale cyanotic'	'>=3'	'continuous severe pain'	absent	moderate	slight	none	4.96	absent	'distended small intestin	45.00	7.50	cloudy	4.60	lived	yes
no	adult	37.50	40.00	32.00	cool	normal	'pale pink'	'<3'	'intermittent mild pain'	normal	moderate	slight	none	4.96	?	'distended large intestin	32.00	6.40	clear	1.10	lived	yes
yes	adult	38.40	84.00	30.00	cool	normal	'bright red'	'>=3'	'intermittent severe pain	hypomotile	moderate	slight	'<1l'	6.50	absent	'distended small intestin	47.00	7.50	serosanguinous	2.95	died	yes
yes	adult	38.10	84.00	44.00	cold	?	'pale cyanotic'	'>=3'	'continuous severe pain'	hypomotile	none	none	'<1l'	5.00	?	'distended small intestin	60.00	6.80	?	5.70	died	yes
no	adult	38.70	52.00	30.52	normal	normal	'normal pink'	'<3'	'alert no pain'	hypomotile	none	?	?	4.96	normal	'firm feces in large inte	4.00	74.00	?	2.95	lived	no
no	adult	38.10	44.00	40.00	warm	normal	'pale pink'	'<3'	'intermittent mild pain'	hypomotile	none	?	?	4.96	normal	'firm feces in large inte	35.00	6.80	?	2.95	lived	no
no	adult	38.40	52.00	20.00	warm	normal	'pale pink'	'<3'	'alert no pain'	hypomotile	slight	slight	none	4.96	decreased	'distended large intestin	41.00	63.00	clear	1.00	lived	no
yes	adult	38.20	60.00	30.52	normal	?	'pale pink'	'<3'	depressed	hypermotile	none	none	none	4.96	absent	'distended small intestin	43.00	6.20	cloudy	3.90	lived	yes
no	adult	37.70	40.00	18.00	normal	normal	'normal pink'	?	'intermittent mild pain'	normal	none	none	none	4.96	decreased	'firm feces in large inte	36.00	3.50	?	2.95	lived	no
yes	adult	39.10	60.00	10.00	?	normal	'normal pink'	?	depressed	hypomotile	?	?	?	4.96	absent	'distended small intestin	45.66	24.77	?	2.95	lived	yes
no	adult	37.80	48.00	16.00	normal	normal	'normal pink'	'<3'	?	hypermotile	none	slight	none	4.96	absent	'firm feces in large inte	43.00	7.50	?	2.95	lived	no
yes	adult	39.00	120.00	30.52	cold	reduced	'bright red'	'>=3'	depressed	absent	moderate	slight	'<1l'	8.00	?	?	65.00	8.20	serosanguinous	4.60	lived	no
yes	adult	38.20	76.00	30.52	warm	reduced	'bright pink'	'<3'	'continuous severe pain'	hypomotile	moderate	none	'>1l'	6.00	normal	'distended large intestin	35.00	6.50	cloudy	0.90	lived	yes
no	adult	38.30	88.00	30.52	?	?	'dark cyanotic'	?	?	?	?	?	?	4.96	?	?	45.66	24.77	?	2.95	died	no
yes	adult	38.00	80.00	30.00	cool	reduced	'pale pink'	'<3'	?	?	?	?	?	6.00	?	?	48.00	8.30	?	4.30	lived	yes
yes	adult	38.13	70.76	30.52	cool	normal	'normal pink'	'<3'	depressed	hypomotile	moderate	none	'<1l'	6.00	absent	'distended small intestin	45.66	24.77	cloudy	2.95	died	yes
yes	adult	37.60	40.00	30.52	normal	normal	'normal pink'	'<3'	'alert no pain'	hypermotile	none	?	?	4.96	normal	normal	45.66	24.77	cloudy	2.10	lived	yes
no	adult	37.50	44.00	30.52	normal	normal	'normal pink'	'<3'	'intermittent mild pain'	hypomotile	slight	?	?	4.96	?	?	45.00	5.80	cloudy	1.40	lived	no
no	adult	38.20	42.00	16.00	normal	normal	'pale pink'	'<3'	'alert no pain'	hypomotile	none	?	?	4.96	normal	?	35.00	60.00	clear	1.00	lived	no
no	adult	38.00	56.00	44.00	cool	reduced	'pale pink'	?	?	hypermotile	none	slight	none	4.96	absent	?	47.00	70.00	cloudy	1.00	lived	no
no	adult	38.30	45.00	20.00	cool	reduced	'bright pink'	'>=3'	depressed	absent	none	slight	?	4.96	absent	?	45.66	24.77	?	2.95	lived	no
yes	adult	38.13	48.00	96.00	normal	normal	'pale pink'	'<3'	?	absent	none	slight	none	4.96	normal	'distended small intestin	42.00	8.00	clear	2.95	lived	yes
yes	adult	37.70	55.00	28.00	warm	normal	'bright pink'	'<3'	depressed	hypomotile	moderate	?	'<1l'	5.00	absent	'distended large intestin	45.66	24.77	?	2.95	lived	yes
no	adult	36.00	100.00	20.00	cold	reduced	'dark cyanotic'	'>=3'	depressed	absent	moderate	none	none	4.96	absent	'distended large intestin	74.00	5.70	cloudy	2.50	euthanized	yes
yes	adult	37.10	60.00	20.00	warm	?	'pale cyanotic'	'<3'	'intermittent mild pain'	?	moderate	?	'>1l'	5.00	decreased	'distended small intestin	64.00	8.50	cloudy	2.95	lived	yes
no	adult	37.10	114.00	40.00	cool	?	'pale pink'	'>=3'	depressed	normal	none	?	?	4.96	?	'firm feces in large inte	32.00	24.77	serosanguinous	6.50	lived	no
yes	adult	38.10	72.00	30.00	cool	reduced	'pale pink'	'<3'	'intermittent severe pain	absent	moderate	slight	none	4.96	decreased	'distended large intestin	37.00	56.00	serosanguinous	1.00	lived	yes
yes	adult	37.00	44.00	12.00	cool	normal	'normal pink'	'>=3'	'alert no pain'	hypermotile	none	?	?	4.96	absent	other	40.00	6.70	serosanguinous	8.00	lived	yes
yes	adult	38.60	48.00	20.00	cool	normal	'normal pink'	'<3'	'intermittent severe pain	hypomotile	none	?	?	4.96	decreased	?	37.00	75.00	?	2.95	lived	yes
yes	adult	38.13	82.00	72.00	cool	normal	'pale cyanotic'	'<3'	depressed	hypomotile	moderate	?	'<1l'	4.96	absent	'distended small intestin	53.00	65.00	serosanguinous	2.00	euthanized	yes
yes	young	38.20	78.00	60.00	cold	absent	'dark cyanotic'	?	'intermittent mild pain'	hypomotile	moderate	?	?	4.96	normal	?	59.00	5.80	serosanguinous	3.10	died	yes
no	adult	37.80	60.00	16.00	normal	normal	'pale pink'	'<3'	depressed	hypomotile	slight	none	'>1l'	4.96	decreased	?	41.00	73.00	?	2.95	euthanized	no
yes	adult	38.70	34.00	30.00	warm	?	'pale pink'	'<3'	depressed	hypomotile	?	?	?	4.96	?	?	33.00	69.00	?	2.00	euthanized	yes
yes	adult	38.13	36.00	12.00	normal	normal	'normal pink'	'<3'	'alert no pain'	normal	none	none	none	4.96	normal	'distended large intestin	44.00	24.77	?	2.95	lived	yes
no	adult	38.30	44.00	60.00	?	?	'normal pink'	'<3'	?	?	?	?	?	4.96	?	?	6.40	36.00	?	2.95	lived	yes
no	adult	37.40	54.00	18.00	cool	?	'normal pink'	'<3'	'intermittent mild pain'	absent	moderate	slight	'>1l'	4.96	absent	'distended large intestin	30.00	7.10	cloudy	2.95	lived	yes
yes	adult	38.13	70.76	30.52	cold	reduced	?	'>=3'	depressed	absent	none	?	?	4.96	?	?	54.00	76.00	serosanguinous	2.00	lived	yes
yes	adult	36.60	48.00	16.00	cool	normal	'pale pink'	'<3'	'intermittent severe pain	hypermotile	none	none	none	4.96	?	?	27.00	56.00	?	2.95	euthanized	yes
yes	adult	38.50	90.00	30.52	normal	normal	'pale pink'	'<3'	'intermittent mild pain'	hypomotile	moderate	slight	'<1l'	2.00	absent	'distended large intestin	47.00	79.00	?	2.95	lived	yes
yes	adult	38.13	75.00	12.00	normal	normal	'pale cyanotic'	'<3'	'continuous severe pain'	hypomotile	moderate	?	'<1l'	5.80	?	?	58.00	8.50	clear	2.95	lived	yes
no	adult	38.20	42.00	30.52	cool	normal	'normal pink'	'<3'	'alert no pain'	hypermotile	slight	slight	none	4.96	decreased	other	35.00	5.90	cloudy	2.95	lived	no
yes	young	38.20	78.00	60.00	cold	absent	'dark cyanotic'	?	'intermittent mild pain'	hypomotile	moderate	?	?	4.96	normal	?	59.00	5.80	serosanguinous	3.10	died	yes
no	adult	38.60	60.00	30.00	normal	normal	'pale pink'	'<3'	'intermittent severe pain	normal	slight	none	none	4.96	?	?	40.00	6.00	clear	2.95	lived	yes
no	adult	37.80	42.00	40.00	normal	normal	'normal pink'	'<3'	'alert no pain'	hypomotile	none	?	?	4.96	decreased	'firm feces in large inte	36.00	6.20	?	2.95	lived	no
yes	adult	38.00	60.00	12.00	normal	normal	'bright pink'	'<3'	depressed	hypermotile	none	none	none	4.96	normal	'distended small intestin	44.00	65.00	serosanguinous	2.00	euthanized	yes
no	adult	38.00	42.00	12.00	cool	?	'pale pink'	'<3'	'alert no pain'	hypermotile	none	?	?	4.96	?	normal	37.00	5.80	?	2.95	lived	no
no	adult	37.60	88.00	36.00	cool	normal	'normal pink'	'<3'	'intermittent mild pain'	hypomotile	slight	none	'<1l'	1.50	?	?	44.00	6.00	?	2.95	died	yes
