Train or Test	Speaker Number	Sex	Feature 0	Feature 1	Feature 2	Feature 3	Feature 4	Feature 5	Feature 6	Feature 7	Feature 8	Feature 9	Class
Train	Rose	Female	-3.00	2.26	-1.18	-0.12	-0.92	0.54	1.29	-0.51	-0.57	-0.10	hYd
Train	Rose	Female	-3.42	1.98	-1.15	0.23	-0.78	0.41	0.49	0.13	-0.70	0.76	had
Train	Rose	Female	-3.89	3.17	-0.74	-0.69	-0.55	0.33	0.57	0.98	-1.61	0.28	hOd
Train	Rose	Female	-4.47	4.57	-1.07	-1.41	0.14	1.05	0.07	0.88	-1.36	-0.17	hod
Train	Rose	Female	-4.47	4.10	-0.81	-0.88	0.65	0.54	0.04	0.14	-1.55	-0.02	hUd
Train	Rose	Female	-4.95	4.64	-0.44	-0.95	-0.12	-0.25	0.59	0.27	-0.78	0.26	hud
Train	Rose	Female	-4.17	2.30	-0.30	-0.13	0.12	0.32	-0.39	-0.33	-0.48	0.99	hed
Train	Rose	Female	-5.13	2.19	1.36	1.94	-0.59	-0.35	-0.68	0.15	0.18	0.38	hid
Train	Rose	Female	-4.39	1.86	0.50	1.72	0.24	-0.82	-0.67	-0.69	-0.45	1.40	hId
Train	Rose	Female	-4.06	1.07	0.16	1.14	0.38	-0.69	-0.58	-0.19	-0.30	1.18	hEd
Train	Rose	Female	-3.63	1.20	-0.72	0.13	-0.06	0.35	-0.06	0.56	-0.59	0.81	hAd
Train	Rose	Female	-3.43	2.26	-1.07	-0.12	-0.80	0.36	1.40	-0.51	-0.38	0.01	hYd
Train	Rose	Female	-3.77	1.97	-0.95	0.30	-0.74	0.41	0.38	0.15	-0.54	0.74	had
Train	Rose	Female	-3.97	3.07	-0.51	-0.83	-0.48	0.43	0.36	0.94	-1.31	0.20	hOd
Train	Rose	Female	-4.50	4.50	-1.45	-1.13	0.44	0.99	0.14	0.60	-1.09	-0.07	hod
Train	Rose	Female	-4.47	4.06	-0.93	-0.68	0.60	0.44	0.22	0.10	-1.34	-0.19	hUd
Train	Rose	Female	-5.01	4.98	-0.87	-1.22	0.17	-0.02	0.54	0.15	-0.84	0.71	hud
Train	Rose	Female	-4.15	2.07	-0.61	0.11	0.41	0.35	-0.28	-0.38	-0.51	0.74	hed
Train	Rose	Female	-5.13	2.08	1.28	2.00	-0.73	-0.51	-0.56	0.05	0.29	0.27	hid
Train	Rose	Female	-4.32	1.41	0.44	1.82	0.50	-0.62	-0.63	-0.62	-0.67	1.19	hId
Train	Rose	Female	-4.15	1.13	-0.01	1.22	0.39	-0.47	-0.40	-0.34	-0.34	0.89	hEd
Train	Rose	Female	-3.58	1.19	-0.96	0.19	-0.08	0.45	0.05	0.45	-0.68	0.92	hAd
Train	Rose	Female	-3.83	2.37	-0.84	-0.34	-0.47	0.12	1.17	-0.17	-0.28	0.12	hYd
Train	Rose	Female	-3.82	1.71	-1.13	0.45	-0.47	0.67	0.30	-0.17	-0.47	0.85	had
Train	Rose	Female	-3.95	2.99	-0.64	-0.99	-0.17	0.77	0.25	0.80	-1.48	0.17	hOd
Train	Rose	Female	-4.47	4.46	-1.89	-0.80	0.72	0.94	0.24	0.34	-1.04	-0.06	hod
Train	Rose	Female	-4.58	4.12	-0.75	-0.85	0.52	0.50	0.12	0.18	-1.26	-0.12	hUd
Train	Rose	Female	-5.05	4.85	-0.68	-0.88	-0.09	0.00	0.25	-0.08	-0.18	0.13	hud
Train	Rose	Female	-4.11	1.86	-0.74	0.13	0.66	0.33	-0.25	-0.12	-0.53	0.46	hed
Train	Rose	Female	-5.14	2.05	1.22	1.90	-0.56	-0.47	-0.84	0.01	0.46	0.19	hid
Train	Rose	Female	-4.40	1.41	0.55	1.50	0.67	-0.62	-0.79	-0.38	-0.70	1.14	hId
Train	Rose	Female	-4.32	1.27	-0.09	1.28	0.13	-0.13	-0.29	-0.46	-0.29	0.69	hEd
Train	Rose	Female	-3.62	1.11	-0.97	0.40	-0.40	0.53	0.27	0.37	-0.72	0.94	hAd
Train	Rose	Female	-3.85	2.28	-1.05	-0.34	-0.16	0.41	0.91	-0.39	-0.34	0.26	hYd
Train	Rose	Female	-3.96	1.72	-1.29	0.53	-0.17	0.53	0.28	-0.15	-0.60	1.14	had
Train	Rose	Female	-3.89	2.91	-0.97	-0.67	-0.13	0.52	0.59	0.71	-1.51	0.12	hOd
Train	Rose	Female	-4.47	4.35	-1.74	-0.89	0.45	0.88	0.37	0.58	-0.91	-0.09	hod
Train	Rose	Female	-4.66	4.24	-0.50	-1.02	0.29	0.46	-0.02	0.34	-1.36	0.06	hUd
Train	Rose	Female	-5.04	5.07	-1.72	-0.26	0.28	0.18	0.00	-0.61	-0.18	0.42	hud
Train	Rose	Female	-4.17	1.80	-0.62	0.03	0.71	0.36	-0.34	-0.05	-0.34	0.22	hed
Train	Rose	Female	-5.11	1.97	1.14	1.72	-0.44	-0.43	-0.97	-0.17	0.55	0.18	hid
Train	Rose	Female	-4.54	1.67	0.64	1.28	0.50	-0.80	-0.71	-0.23	-0.55	1.06	hId
Train	Rose	Female	-4.43	1.17	0.01	1.32	0.19	-0.30	-0.12	-0.24	-0.42	0.68	hEd
Train	Rose	Female	-3.62	0.99	-1.11	0.69	-0.69	0.75	0.44	0.17	-0.46	0.74	hAd
Train	Rose	Female	-3.60	2.15	-1.49	-0.14	-0.30	0.81	0.87	-0.49	-0.47	0.41	hYd
Train	Rose	Female	-4.12	1.74	-1.34	0.62	0.03	0.35	0.34	-0.10	-0.54	0.99	had
Train	Rose	Female	-4.07	2.88	-0.86	-0.22	-0.53	0.23	0.86	0.63	-1.45	0.27	hOd
Train	Rose	Female	-4.51	4.26	-1.48	-1.09	0.22	0.83	0.34	0.69	-0.60	-0.06	hod
Train	Rose	Female	-4.65	4.25	-0.82	-0.83	0.67	0.55	-0.30	0.09	-1.34	0.19	hUd
Train	Rose	Female	-5.03	4.99	-1.63	-0.28	0.40	0.18	-0.21	-0.51	-0.28	0.30	hud
Train	Rose	Female	-4.26	1.83	-0.48	-0.19	0.73	0.35	-0.48	0.05	-0.11	0.32	hed
Test	Mike	Male	-1.15	-0.90	-1.99	0.74	-0.06	1.21	0.86	1.20	-0.30	-0.47	hid
Test	Mike	Male	-2.61	-0.09	-0.54	0.48	0.39	1.74	0.20	0.26	-0.38	-0.60	hId
Test	Mike	Male	-2.51	0.63	-0.59	0.30	0.50	0.82	-0.16	0.18	-0.36	-0.76	hEd
Test	Mike	Male	-1.77	1.77	-1.14	-0.74	-0.09	0.12	-0.23	0.22	-0.01	-0.28	hAd
Test	Mike	Male	-2.67	3.15	-0.51	0.13	-0.96	0.23	-0.07	1.19	0.25	-0.47	hYd
Test	Mike	Male	-2.51	1.33	0.35	0.66	-0.72	0.42	-0.50	0.71	0.64	-0.20	had
Test	Mike	Male	-2.76	1.11	0.73	1.54	-0.86	0.26	-1.11	0.23	0.42	0.99	hOd
Test	Mike	Male	-3.82	3.43	0.22	-0.38	-1.73	0.43	-0.32	1.33	0.65	0.58	hod
Test	Mike	Male	-3.84	1.25	0.83	0.98	-1.11	0.62	-0.75	0.08	0.31	1.13	hUd
Test	Mike	Male	-4.98	1.54	0.96	1.25	-0.64	0.59	-0.48	-0.31	-0.25	1.18	hud
Test	Mike	Male	-2.89	0.68	-0.15	0.22	-0.69	1.12	-0.26	0.92	0.76	0.33	hed
Test	Mike	Male	-1.09	-0.92	-2.09	0.84	0.01	1.25	0.89	1.45	-0.09	-0.40	hid
Test	Mike	Male	-2.50	0.12	-0.82	0.35	0.35	1.70	0.25	0.69	-0.08	-0.60	hId
Test	Mike	Male	-2.63	0.67	-0.37	0.44	0.44	0.91	-0.40	-0.04	-0.37	-0.74	hEd
Test	Mike	Male	-1.71	1.65	-1.01	-0.62	-0.29	0.28	-0.28	0.48	0.05	-0.20	hAd
Test	Mike	Male	-2.70	3.13	-0.52	0.29	-0.99	0.02	-0.07	1.11	0.36	-0.40	hYd
Test	Mike	Male	-2.59	1.62	0.27	0.38	-0.78	0.49	-0.21	0.73	0.59	-0.40	had
Test	Mike	Male	-2.73	1.09	0.76	1.69	-0.83	0.29	-1.07	0.27	0.37	1.03	hOd
Test	Mike	Male	-3.84	3.34	0.29	-0.13	-1.68	0.19	-0.37	1.33	0.52	0.86	hod
Test	Mike	Male	-3.91	2.16	0.78	0.64	-1.02	0.60	-0.72	0.27	0.38	0.77	hUd
Test	Mike	Male	-4.85	1.12	0.93	1.62	-0.59	0.59	-0.45	-0.37	-0.45	1.29	hud
Test	Mike	Male	-2.98	0.52	-0.10	0.36	-0.66	1.12	-0.31	0.86	0.64	0.34	hed
Test	Mike	Male	-1.78	-1.07	-1.66	1.32	0.29	1.30	0.92	1.31	-0.35	-0.52	hid
Test	Mike	Male	-1.89	0.21	-1.16	0.03	-0.05	1.58	0.28	1.13	0.37	-0.25	hId
Test	Mike	Male	-2.68	0.49	-0.06	0.52	0.22	1.10	-0.43	-0.10	-0.37	-0.48	hEd
Test	Mike	Male	-1.72	1.19	-0.81	-0.51	-0.35	0.29	-0.40	0.68	0.17	-0.21	hAd
Test	Mike	Male	-2.77	2.91	-0.19	0.35	-0.96	0.09	-0.25	1.00	0.60	-0.34	hYd
Test	Mike	Male	-2.63	1.55	0.30	0.32	-1.05	0.75	0.07	0.60	0.34	-0.41	had
Test	Mike	Male	-2.63	0.88	0.71	1.80	-0.75	0.33	-1.13	0.18	0.34	1.17	hOd
Test	Mike	Male	-3.89	3.09	0.44	0.14	-1.53	-0.05	-0.50	1.09	0.51	0.98	hod
Test	Mike	Male	-3.82	1.83	1.09	1.02	-1.09	0.56	-0.34	0.30	0.13	1.00	hUd
Test	Mike	Male	-4.81	1.04	0.89	1.66	-0.53	0.75	-0.51	-0.45	-0.41	1.21	hud
Test	Mike	Male	-2.97	0.46	-0.19	0.32	-0.63	0.94	-0.33	0.78	0.55	0.44	hed
Test	Mike	Male	-2.70	-1.03	-0.94	1.80	0.39	1.33	0.87	0.78	-0.84	-0.66	hid
Test	Mike	Male	-1.36	0.14	-1.08	-0.15	-0.61	1.46	0.14	1.15	0.48	0.12	hId
Test	Mike	Male	-2.59	0.62	-0.29	0.52	0.26	1.20	-0.34	0.26	-0.33	-0.51	hEd
Test	Mike	Male	-1.79	0.93	-0.74	-0.40	-0.21	0.33	-0.40	0.60	0.20	-0.25	hAd
Test	Mike	Male	-2.92	2.70	-0.12	0.45	-0.86	-0.04	-0.31	0.87	0.62	-0.30	hYd
Test	Mike	Male	-2.70	1.26	0.44	0.66	-1.16	0.81	0.06	0.57	0.18	-0.33	had
Test	Mike	Male	-2.48	0.56	0.62	1.95	-0.65	0.38	-1.11	0.04	0.24	1.29	hOd
Test	Mike	Male	-3.99	3.05	0.30	0.21	-1.26	-0.20	-0.74	0.86	0.55	1.11	hod
Test	Mike	Male	-3.78	1.75	0.92	0.72	-1.16	0.77	-0.01	0.66	0.25	1.05	hUd
Test	Mike	Male	-4.72	0.83	0.85	1.98	-0.55	0.69	-0.43	-0.42	-0.64	1.25	hud
Test	Mike	Male	-3.11	0.93	-0.39	0.25	-0.46	0.82	-0.23	0.82	0.39	0.30	hed
Test	Mike	Male	-3.37	-0.83	-0.41	1.64	0.60	1.23	0.52	0.29	-0.86	-0.67	hid
Test	Mike	Male	-1.53	0.03	-0.93	0.05	-0.56	1.59	0.12	1.12	0.34	0.03	hId
Test	Mike	Male	-1.82	0.56	-0.80	0.23	0.01	1.22	-0.16	0.81	0.02	-0.38	hEd
Test	Mike	Male	-1.97	0.83	-0.67	-0.27	0.03	0.40	-0.44	0.53	0.06	-0.34	hAd
Test	Mike	Male	-3.04	2.47	0.02	0.51	-0.74	-0.10	-0.36	0.71	0.60	-0.21	hYd
Test	Mike	Male	-2.89	1.42	0.41	0.61	-1.02	0.99	0.00	0.52	-0.03	-0.33	had
Test	Mike	Male	-2.71	0.81	0.75	1.90	-0.76	0.38	-1.12	0.16	0.41	1.16	hOd
Test	Mike	Male	-3.99	3.34	0.17	0.09	-1.23	-0.22	-0.82	0.84	0.52	0.98	hod
Test	Mike	Male	-3.81	1.91	0.53	0.48	-0.97	0.94	-0.28	0.72	0.48	0.83	hUd
Test	Mike	Male	-4.68	0.77	0.89	2.30	-0.56	0.40	-0.40	-0.29	-0.84	1.16	hud
Test	Mike	Male	-3.38	1.78	-0.82	0.38	-0.02	0.85	0.12	0.77	0.22	-0.34	hed
Test	Mike	Male	-3.31	-0.78	-0.50	1.39	0.86	1.26	0.22	0.31	-0.71	-0.76	hid
Test	Mike	Male	-2.07	0.09	-0.73	0.30	-0.29	1.75	0.15	1.08	0.29	-0.17	hId
Test	Mike	Male	-1.22	0.49	-0.72	0.00	-0.32	1.11	-0.15	0.77	0.39	-0.07	hEd
Test	Mike	Male	-2.30	0.88	-0.62	-0.04	0.14	0.38	-0.60	0.34	-0.11	-0.39	hAd
Test	Mike	Male	-2.97	2.15	0.13	0.68	-0.79	0.11	-0.51	0.76	0.63	-0.27	hYd
Test	Mike	Male	-2.78	1.43	0.14	0.31	-0.93	1.34	0.02	0.59	-0.04	-0.27	had
Test	Mike	Male	-3.07	1.53	0.95	1.54	-1.06	0.27	-0.96	0.45	0.62	0.97	hOd
Test	Mike	Male	-3.96	4.13	-0.07	-0.19	-1.18	-0.11	-0.68	1.20	0.44	0.56	hod
Test	Mike	Male	-3.95	2.10	0.31	0.46	-0.76	1.04	-0.62	0.74	0.34	0.27	hUd
Test	Mike	Male	-4.76	0.96	0.96	2.29	-0.53	0.45	-0.41	-0.36	-0.86	1.09	hud
Test	Mike	Male	-3.37	1.95	-0.90	0.26	0.28	0.83	0.29	0.68	0.43	-0.46	hed
Test	Nick	Male	-3.14	0.08	-1.16	1.59	0.20	1.90	0.17	0.68	-1.03	-0.63	hid
Test	Nick	Male	-3.26	0.96	-0.79	1.53	-0.02	0.98	-0.12	0.50	-0.99	-0.62	hId
Test	Nick	Male	-2.05	0.82	-1.46	0.65	-0.70	0.35	-0.09	0.79	-0.57	-0.01	hEd
Test	Nick	Male	-1.99	1.73	-1.13	0.56	-1.22	0.49	0.21	-0.04	-0.29	-0.55	hAd
Test	Nick	Male	-2.77	2.82	-2.02	0.21	-0.77	0.85	0.25	-0.19	-0.20	-0.09	hYd
Test	Nick	Male	-2.55	2.39	-1.14	0.09	-0.95	0.22	0.05	0.72	-0.56	-0.20	had
Test	Nick	Male	-3.30	2.88	-0.86	-0.30	-1.02	0.80	0.29	0.86	-0.53	-0.66	hOd
Test	Nick	Male	-4.05	3.90	-0.42	0.15	-1.27	0.20	0.32	0.53	0.58	-0.11	hod
Test	Nick	Male	-4.10	2.84	-0.80	0.06	-0.73	1.30	-0.14	0.44	0.05	-0.61	hUd
Test	Nick	Male	-4.69	3.15	-0.14	0.59	-0.73	1.05	-0.10	-0.02	0.64	-0.19	hud
Test	Nick	Male	-3.73	1.87	-0.80	0.56	-0.43	0.79	0.20	0.65	-0.74	-0.37	hed
Test	Nick	Male	-3.02	0.06	-1.26	1.50	0.17	2.00	0.18	0.85	-1.16	-0.55	hid
Test	Nick	Male	-3.34	1.00	-0.75	1.50	-0.07	1.01	-0.02	0.38	-0.77	-0.90	hId
Test	Nick	Male	-2.01	0.79	-1.49	0.65	-0.69	0.31	-0.09	0.86	-0.52	-0.05	hEd
Test	Nick	Male	-1.95	1.68	-1.04	0.59	-1.17	0.34	0.33	-0.11	-0.20	-0.61	hAd
Test	Nick	Male	-2.79	2.79	-1.92	0.22	-0.99	1.08	0.07	-0.07	-0.26	-0.14	hYd
Test	Nick	Male	-2.54	2.35	-1.03	0.15	-0.92	0.20	-0.06	0.83	-0.71	-0.07	had
Test	Nick	Male	-3.23	3.00	-1.16	-0.31	-0.82	0.87	0.31	0.68	-0.56	-0.70	hOd
Test	Nick	Male	-4.03	4.07	-0.59	0.13	-1.45	0.62	0.20	0.71	0.48	-0.31	hod
Test	Nick	Male	-4.13	3.11	-1.14	0.18	-0.50	1.32	-0.40	0.68	-0.34	-0.69	hUd
Test	Nick	Male	-4.72	3.28	-0.20	0.65	-0.88	1.41	-0.66	0.58	0.24	-0.31	hud
Test	Nick	Male	-3.70	1.84	-0.68	0.44	-0.38	0.89	0.18	0.59	-0.68	-0.41	hed
Test	Nick	Male	-2.97	0.04	-1.27	1.52	0.19	1.98	0.13	0.83	-1.16	-0.55	hid
Test	Nick	Male	-3.48	1.09	-0.67	1.39	-0.03	1.04	-0.05	0.38	-0.76	-0.93	hId
Test	Nick	Male	-1.93	0.78	-1.41	0.60	-0.58	0.22	-0.06	0.73	-0.33	-0.23	hEd
Test	Nick	Male	-1.93	1.58	-1.00	0.67	-1.29	0.38	0.25	0.01	-0.17	-0.64	hAd
Test	Nick	Male	-2.82	2.74	-2.01	0.23	-0.92	1.10	0.09	-0.18	-0.14	-0.09	hYd
Test	Nick	Male	-2.52	2.28	-0.95	0.23	-0.92	0.25	-0.09	0.83	-0.70	-0.09	had
Test	Nick	Male	-3.17	3.17	-1.50	-0.37	-0.44	0.97	0.18	0.56	-0.79	-0.55	hOd
Test	Nick	Male	-4.05	4.04	-0.56	0.06	-1.68	1.02	0.05	1.02	-0.09	-0.28	hod
Test	Nick	Male	-4.13	3.29	-1.42	0.36	-0.27	1.30	-0.45	0.62	-0.53	-0.71	hUd
Test	Nick	Male	-4.75	3.42	-0.19	0.66	-0.98	1.44	-0.65	0.55	0.12	-0.33	hud
Test	Nick	Male	-3.72	1.90	-0.74	0.43	-0.37	1.05	0.12	0.43	-0.68	-0.39	hed
Test	Nick	Male	-3.00	0.04	-1.24	1.53	0.19	2.03	0.10	0.76	-1.18	-0.63	hid
Test	Nick	Male	-3.59	1.19	-0.62	1.34	-0.02	1.10	-0.07	0.37	-0.85	-0.77	hId
Test	Nick	Male	-1.89	0.75	-1.39	0.64	-0.61	0.25	-0.03	0.69	-0.27	-0.35	hEd
Test	Nick	Male	-1.92	1.52	-1.00	0.63	-1.27	0.21	0.38	0.00	-0.14	-0.62	hAd
Test	Nick	Male	-2.80	2.71	-1.94	0.15	-0.92	1.24	-0.08	-0.01	-0.21	-0.06	hYd
Test	Nick	Male	-2.56	2.19	-0.95	0.21	-0.84	0.39	-0.08	0.74	-0.61	-0.20	had
Test	Nick	Male	-3.15	3.18	-1.57	-0.20	-0.49	0.72	0.31	0.65	-0.87	-0.59	hOd
Test	Nick	Male	-4.06	4.11	-0.55	0.03	-1.64	0.90	0.10	0.91	0.05	-0.32	hod
Test	Nick	Male	-4.14	3.36	-1.46	0.46	-0.07	1.04	-0.15	0.17	-0.12	-0.86	hUd
Test	Nick	Male	-4.78	3.33	-0.07	0.66	-0.91	1.01	-0.03	-0.10	0.48	-0.20	hud
Test	Nick	Male	-3.73	1.93	-0.70	0.45	-0.37	1.15	0.05	0.32	-0.63	-0.33	hed
Test	Nick	Male	-3.06	0.09	-1.22	1.56	0.19	2.06	0.05	0.64	-1.12	-0.76	hid
Test	Nick	Male	-3.71	1.38	-0.58	1.43	-0.03	1.06	-0.13	0.33	-1.09	-0.56	hId
Test	Nick	Male	-1.93	0.69	-1.43	0.72	-0.59	0.27	-0.04	0.72	-0.25	-0.28	hEd
Test	Nick	Male	-1.95	1.54	-1.01	0.54	-1.23	0.18	0.46	0.00	-0.18	-0.58	hAd
Test	Nick	Male	-2.80	2.61	-1.73	0.04	-0.94	1.04	0.19	0.04	-0.17	-0.23	hYd
Test	Nick	Male	-2.69	2.11	-1.07	0.17	-0.65	0.43	-0.02	0.65	-0.50	-0.29	had
Test	Nick	Male	-3.19	3.10	-1.66	-0.18	-0.44	0.83	0.27	0.50	-0.86	-0.52	hOd
Test	Nick	Male	-4.07	4.19	-0.56	0.05	-1.60	0.73	-0.06	0.98	0.25	-0.25	hod
Test	Nick	Male	-4.17	3.54	-1.43	0.42	0.27	0.92	-0.12	-0.27	-0.16	-0.71	hUd
Test	Nick	Male	-4.83	3.39	-0.10	0.60	-0.72	0.74	0.09	-0.21	0.52	-0.07	hud
Test	Nick	Male	-3.73	2.10	-0.82	0.46	-0.22	1.14	0.02	0.22	-0.75	-0.32	hed
Test	Nick	Male	-3.12	0.15	-1.23	1.63	0.22	2.03	0.04	0.57	-1.15	-0.77	hid
Test	Nick	Male	-3.87	1.69	-0.61	1.43	0.04	0.84	-0.01	0.13	-1.22	-0.55	hId
Test	Nick	Male	-2.03	0.70	-1.48	0.81	-0.68	0.42	0.02	0.75	-0.30	-0.24	hEd
Test	Nick	Male	-2.00	1.50	-1.00	0.52	-1.24	0.40	0.27	0.15	-0.32	-0.49	hAd
Test	Nick	Male	-2.91	2.54	-1.57	0.07	-1.05	1.21	0.01	0.29	-0.32	-0.34	hYd
Test	Nick	Male	-2.94	2.18	-1.29	0.35	-0.37	0.57	0.05	0.45	-0.70	-0.26	had
Test	Nick	Male	-3.24	2.92	-1.41	-0.46	-0.45	1.22	0.08	0.38	-0.78	-0.41	hOd
Test	Nick	Male	-4.07	4.20	-0.61	-0.06	-1.46	0.48	0.38	0.59	0.41	-0.26	hod
Test	Nick	Male	-4.24	3.78	-1.59	0.81	0.29	0.81	-0.57	-0.25	-0.41	-0.56	hUd
Test	Nick	Male	-4.88	3.63	-0.28	0.50	-0.67	0.79	0.00	-0.14	0.53	-0.18	hud
Test	Nick	Male	-3.76	2.20	-0.72	0.53	-0.28	1.12	0.02	0.13	-0.78	-0.39	hed
Test	Rich	Male	-4.07	0.40	-0.38	1.68	0.12	1.62	0.50	-0.31	-0.23	-0.87	hid
Test	Rich	Male	-2.97	0.66	-1.06	1.36	0.15	1.43	0.20	0.93	-0.45	-0.64	hId
Test	Rich	Male	-2.69	1.12	-0.99	0.17	0.50	0.37	0.09	0.63	-0.72	-0.26	hEd
Test	Rich	Male	-2.48	1.90	-1.29	0.11	0.28	0.10	0.02	0.83	-0.33	-0.76	hAd
Test	Rich	Male	-2.74	2.73	-0.13	-0.49	-0.57	0.87	0.07	0.77	0.05	-0.94	hYd
Test	Rich	Male	-2.43	2.90	-1.34	-0.41	0.37	0.84	-0.02	0.34	0.12	-0.75	had
Test	Rich	Male	-2.97	3.56	-0.40	-0.72	-0.67	0.92	0.29	1.01	0.14	-1.10	hOd
Test	Rich	Male	-4.10	3.81	0.25	-0.10	-0.99	0.10	-0.34	2.04	0.02	-0.43	hod
Test	Rich	Male	-3.86	3.24	-1.00	0.49	-0.35	0.19	0.56	1.34	0.18	-0.32	hUd
Test	Rich	Male	-4.61	2.96	-0.86	1.16	-0.61	0.47	0.16	0.70	0.37	-0.92	hud
Test	Rich	Male	-3.55	1.61	-0.85	0.37	0.17	0.32	0.46	0.86	-1.13	-0.33	hed
Test	Rich	Male	-4.05	0.35	-0.31	1.73	0.13	1.67	0.51	-0.38	-0.36	-0.86	hid
Test	Rich	Male	-3.03	0.69	-1.01	1.45	0.16	1.48	0.18	1.00	-0.54	-0.56	hId
Test	Rich	Male	-2.67	1.13	-1.05	0.23	0.54	0.35	0.16	0.55	-0.69	-0.29	hEd
Test	Rich	Male	-2.39	1.93	-1.50	0.37	0.06	0.01	0.15	0.81	-0.48	-0.67	hAd
Test	Rich	Male	-2.76	2.84	-0.28	-0.45	-0.49	0.79	0.12	0.79	0.02	-0.95	hYd
Test	Rich	Male	-2.46	2.76	-0.98	-0.65	0.16	1.05	-0.14	0.20	0.25	-0.75	had
Test	Rich	Male	-3.05	3.31	0.17	-0.61	-1.03	0.92	0.35	0.90	0.37	-0.87	hOd
Test	Rich	Male	-4.09	3.71	0.31	-0.05	-0.93	0.02	-0.35	1.77	0.24	-0.30	hod
Test	Rich	Male	-3.99	3.58	-1.10	0.37	-0.12	0.29	0.66	0.96	0.02	-0.48	hUd
Test	Rich	Male	-4.60	3.04	-0.96	0.83	-0.30	0.31	0.42	0.57	0.39	-0.62	hud
Test	Rich	Male	-3.71	1.49	-0.49	0.40	0.18	0.19	0.23	1.03	-0.86	-0.41	hed
Test	Rich	Male	-3.89	0.12	-0.41	1.97	0.04	1.89	0.41	-0.09	-0.44	-1.01	hid
Test	Rich	Male	-3.05	0.72	-1.02	1.42	0.18	1.47	0.26	0.98	-0.43	-0.72	hId
Test	Rich	Male	-2.62	1.18	-1.16	0.40	0.46	0.34	0.30	0.46	-0.62	-0.31	hEd
Test	Rich	Male	-2.30	1.95	-1.49	0.31	0.05	0.06	0.03	0.90	-0.52	-0.64	hAd
Test	Rich	Male	-2.79	2.66	0.04	-0.44	-0.60	0.81	0.10	0.72	0.13	-0.91	hYd
Test	Rich	Male	-2.44	2.68	-0.82	-0.74	0.08	1.12	-0.06	0.02	0.28	-0.72	had
Test	Rich	Male	-3.02	3.26	0.35	-0.58	-1.18	0.87	0.56	0.76	0.40	-0.67	hOd
Test	Rich	Male	-3.98	3.69	0.10	-0.33	-1.01	0.17	-0.11	1.67	0.26	-0.23	hod
Test	Rich	Male	-3.96	3.37	-1.24	0.15	0.03	0.66	0.56	0.84	-0.13	-0.32	hUd
Test	Rich	Male	-4.62	3.03	-0.91	0.60	-0.34	0.64	0.29	0.53	0.48	-0.56	hud
Test	Rich	Male	-3.79	1.42	-0.37	0.57	0.12	0.19	0.08	1.01	-0.72	-0.39	hed
Test	Rich	Male	-3.68	-0.19	-0.56	2.38	0.10	1.85	0.30	0.30	-0.36	-1.21	hid
Test	Rich	Male	-3.03	0.70	-1.08	1.27	0.20	1.45	0.32	0.95	-0.32	-0.83	hId
Test	Rich	Male	-2.60	1.22	-1.32	0.59	0.31	0.36	0.45	0.35	-0.56	-0.31	hEd
Test	Rich	Male	-2.32	2.01	-1.37	0.18	0.21	0.07	0.04	0.81	-0.33	-0.75	hAd
Test	Rich	Male	-2.70	2.69	-0.04	-0.53	-0.63	0.92	0.17	0.65	0.10	-0.94	hYd
Test	Rich	Male	-2.44	2.53	-0.49	-0.81	-0.15	1.28	0.08	-0.06	0.29	-0.64	had
Test	Rich	Male	-2.97	3.13	0.50	-0.49	-1.37	0.70	0.66	0.68	0.47	-0.52	hOd
Test	Rich	Male	-3.88	3.82	-0.16	-0.67	-1.21	0.54	0.02	1.97	-0.03	-0.29	hod
Test	Rich	Male	-3.90	2.77	-0.82	-0.01	-0.13	0.17	0.31	1.20	0.25	-0.12	hUd
Test	Rich	Male	-4.72	3.06	-0.68	0.53	-0.48	0.73	0.17	0.49	0.63	-0.47	hud
Test	Rich	Male	-3.69	1.37	-0.39	0.38	0.14	0.34	0.16	1.01	-0.61	-0.55	hed
Test	Rich	Male	-3.64	-0.22	-0.58	2.31	0.05	1.95	0.28	0.27	-0.54	-1.23	hid
Test	Rich	Male	-3.03	0.45	-0.95	0.93	0.13	1.51	0.14	0.93	-0.10	-0.97	hId
Test	Rich	Male	-2.82	1.27	-1.13	0.71	0.40	0.41	0.29	0.32	-0.69	-0.38	hEd
Test	Rich	Male	-2.38	1.98	-1.10	-0.10	0.37	0.20	-0.13	0.75	-0.14	-0.96	hAd
Test	Rich	Male	-2.54	2.92	-0.38	-0.75	-0.56	0.98	0.30	0.54	0.13	-0.96	hYd
Test	Rich	Male	-2.51	2.36	-0.18	-0.79	-0.32	1.36	0.30	-0.12	0.21	-0.62	had
Test	Rich	Male	-2.95	2.64	0.83	-0.39	-1.50	0.27	0.76	0.54	0.62	-0.40	hOd
Test	Rich	Male	-3.98	3.66	0.17	-0.60	-1.41	0.57	0.01	1.94	0.09	-0.15	hod
Test	Rich	Male	-4.08	2.32	-0.38	0.52	-0.02	-0.21	-0.17	1.05	0.39	0.17	hUd
Test	Rich	Male	-4.80	3.23	-0.50	0.60	-0.53	0.75	0.09	0.44	0.76	-0.42	hud
Test	Rich	Male	-3.66	1.29	-0.43	0.34	0.10	0.36	0.25	0.91	-0.41	-0.51	hed
Test	Rich	Male	-3.34	-0.35	-0.79	2.13	-0.06	2.08	0.29	0.25	-0.69	-1.24	hid
