checking_status	duration	credit_history	purpose	credit_amount	savings_status	employment	installment_commitment	personal_status	other_parties	residence_since	property_magnitude	age	other_payment_plans	housing	existing_credits	job	num_dependents	own_telephone	foreign_worker	class
'<0'	24.00	'delayed previously'	radio/tv	1024.00	'<100'	'<1'	4.00	'male mar/wid'	none	4.00	'real estate'	48.00	stores	own	1.00	skilled	1.00	none	yes	bad
'no checking'	12.00	'existing paid'	business	1076.00	'<100'	'1<=X<4'	2.00	'male mar/wid'	none	2.00	'real estate'	26.00	none	own	1.00	skilled	1.00	yes	no	good
'0<=X<200'	36.00	'existing paid'	'used car'	9398.00	'<100'	'<1'	1.00	'male mar/wid'	none	4.00	car	28.00	none	rent	1.00	'high qualif/self emp/mgm	1.00	yes	yes	bad
'<0'	24.00	'critical/other existing 	'used car'	6419.00	'<100'	'>=7'	2.00	'female div/dep/mar'	none	4.00	'no known property'	44.00	none	'for free'	2.00	'high qualif/self emp/mgm	2.00	yes	yes	good
'>=200'	42.00	'critical/other existing 	'used car'	4796.00	'<100'	'>=7'	4.00	'male single'	none	4.00	'no known property'	56.00	none	'for free'	1.00	skilled	1.00	none	yes	good
'no checking'	48.00	'critical/other existing 	business	7629.00	'no known savings'	'>=7'	4.00	'male div/sep'	none	2.00	car	46.00	bank	own	2.00	'high qualif/self emp/mgm	2.00	none	yes	good
'0<=X<200'	48.00	'existing paid'	furniture/equipment	9960.00	'<100'	'<1'	1.00	'female div/dep/mar'	none	2.00	car	26.00	none	own	1.00	skilled	1.00	yes	yes	bad
'no checking'	12.00	'existing paid'	'used car'	4675.00	'no known savings'	'<1'	1.00	'female div/dep/mar'	none	4.00	car	20.00	none	rent	1.00	skilled	1.00	none	yes	good
'no checking'	10.00	'existing paid'	'new car'	1287.00	'no known savings'	'>=7'	4.00	'male single'	'co applicant'	2.00	'life insurance'	45.00	none	own	1.00	'unskilled resident'	1.00	none	no	good
'no checking'	18.00	'existing paid'	furniture/equipment	2515.00	'<100'	'1<=X<4'	3.00	'male single'	none	4.00	'real estate'	43.00	none	own	1.00	skilled	1.00	yes	yes	good
'0<=X<200'	21.00	'critical/other existing 	furniture/equipment	2745.00	'>=1000'	'4<=X<7'	3.00	'male single'	none	2.00	car	32.00	none	own	2.00	skilled	1.00	yes	yes	good
'no checking'	6.00	'existing paid'	'new car'	672.00	'<100'	unemployed	1.00	'female div/dep/mar'	none	4.00	'real estate'	54.00	none	own	1.00	'unemp/unskilled non res'	1.00	yes	yes	good
'0<=X<200'	36.00	'no credits/all paid'	radio/tv	3804.00	'<100'	'1<=X<4'	4.00	'female div/dep/mar'	none	1.00	car	42.00	none	own	1.00	skilled	1.00	yes	yes	bad
'>=200'	24.00	'critical/other existing 	'new car'	1344.00	'no known savings'	'4<=X<7'	4.00	'male single'	none	2.00	'real estate'	37.00	bank	own	2.00	'unskilled resident'	2.00	none	yes	bad
'<0'	10.00	'critical/other existing 	'new car'	1038.00	'<100'	'4<=X<7'	4.00	'male single'	'co applicant'	3.00	'life insurance'	49.00	none	own	2.00	skilled	1.00	yes	yes	good
'no checking'	48.00	'critical/other existing 	'new car'	10127.00	'500<=X<1000'	'1<=X<4'	2.00	'male single'	none	2.00	'no known property'	44.00	bank	'for free'	1.00	skilled	1.00	none	yes	bad
'no checking'	6.00	'existing paid'	furniture/equipment	1543.00	'>=1000'	'1<=X<4'	4.00	'male div/sep'	none	2.00	'real estate'	33.00	none	own	1.00	skilled	1.00	none	yes	good
'no checking'	30.00	'existing paid'	'used car'	4811.00	'no known savings'	'4<=X<7'	2.00	'female div/dep/mar'	none	4.00	'life insurance'	24.00	stores	rent	1.00	'unskilled resident'	1.00	none	yes	good
'<0'	12.00	'existing paid'	radio/tv	727.00	'100<=X<500'	'<1'	4.00	'male mar/wid'	none	3.00	'no known property'	33.00	none	own	1.00	'unskilled resident'	1.00	yes	yes	bad
'0<=X<200'	8.00	'existing paid'	furniture/equipment	1237.00	'<100'	'1<=X<4'	3.00	'female div/dep/mar'	none	4.00	'real estate'	24.00	none	own	1.00	skilled	1.00	none	yes	bad
'0<=X<200'	9.00	'existing paid'	'new car'	276.00	'<100'	'1<=X<4'	4.00	'male mar/wid'	none	4.00	'real estate'	22.00	none	rent	1.00	'unskilled resident'	1.00	none	yes	good
'0<=X<200'	48.00	'existing paid'	other	5381.00	'no known savings'	unemployed	3.00	'male single'	none	4.00	'no known property'	40.00	bank	'for free'	1.00	'unemp/unskilled non res'	1.00	yes	yes	good
'no checking'	24.00	'existing paid'	furniture/equipment	5511.00	'100<=X<500'	'1<=X<4'	4.00	'male single'	none	1.00	car	25.00	stores	own	1.00	skilled	1.00	none	yes	good
'>=200'	24.00	'existing paid'	furniture/equipment	3749.00	'<100'	'<1'	2.00	'female div/dep/mar'	none	4.00	car	26.00	none	own	1.00	skilled	1.00	none	yes	good
'0<=X<200'	12.00	'existing paid'	'new car'	685.00	'<100'	'4<=X<7'	2.00	'male mar/wid'	none	3.00	car	25.00	bank	own	1.00	'unskilled resident'	1.00	none	yes	bad
'>=200'	4.00	'existing paid'	'new car'	1494.00	'no known savings'	'<1'	1.00	'male single'	none	2.00	'real estate'	29.00	none	own	1.00	'unskilled resident'	2.00	none	no	good
'<0'	36.00	'all paid'	furniture/equipment	2746.00	'<100'	'>=7'	4.00	'male single'	none	4.00	car	31.00	bank	own	1.00	skilled	1.00	none	yes	bad
'<0'	12.00	'existing paid'	furniture/equipment	708.00	'<100'	'1<=X<4'	2.00	'male single'	guarantor	3.00	'life insurance'	38.00	none	own	1.00	'unskilled resident'	2.00	none	yes	good
'0<=X<200'	24.00	'existing paid'	furniture/equipment	4351.00	'no known savings'	'1<=X<4'	1.00	'female div/dep/mar'	none	4.00	'life insurance'	48.00	none	own	1.00	'unskilled resident'	1.00	yes	yes	good
'no checking'	12.00	'critical/other existing 	education	701.00	'<100'	'1<=X<4'	4.00	'male single'	none	2.00	car	32.00	none	own	2.00	skilled	1.00	none	yes	good
'<0'	15.00	'delayed previously'	furniture/equipment	3643.00	'<100'	'>=7'	1.00	'female div/dep/mar'	none	4.00	'life insurance'	27.00	none	own	2.00	'unskilled resident'	1.00	none	yes	good
'0<=X<200'	30.00	'critical/other existing 	'new car'	4249.00	'<100'	unemployed	4.00	'male mar/wid'	none	2.00	car	28.00	none	own	2.00	'high qualif/self emp/mgm	1.00	none	yes	bad
'<0'	24.00	'existing paid'	radio/tv	1938.00	'<100'	'<1'	4.00	'male div/sep'	none	3.00	'life insurance'	32.00	none	own	1.00	skilled	1.00	none	yes	bad
'<0'	24.00	'existing paid'	'used car'	2910.00	'<100'	'4<=X<7'	2.00	'male single'	none	1.00	'no known property'	34.00	none	'for free'	1.00	'high qualif/self emp/mgm	1.00	yes	yes	good
'<0'	18.00	'existing paid'	furniture/equipment	2659.00	'>=1000'	'1<=X<4'	4.00	'male single'	none	2.00	car	28.00	none	own	1.00	skilled	1.00	none	yes	good
'no checking'	18.00	'critical/other existing 	'new car'	1028.00	'<100'	'1<=X<4'	4.00	'female div/dep/mar'	none	3.00	'real estate'	36.00	none	own	2.00	skilled	1.00	none	yes	good
'<0'	8.00	'critical/other existing 	'new car'	3398.00	'<100'	'4<=X<7'	1.00	'male single'	none	4.00	'real estate'	39.00	none	own	2.00	'unskilled resident'	1.00	none	no	good
'no checking'	12.00	'critical/other existing 	furniture/equipment	5801.00	'no known savings'	'>=7'	2.00	'male single'	none	4.00	'life insurance'	49.00	none	rent	1.00	skilled	1.00	yes	yes	good
'no checking'	24.00	'existing paid'	'new car'	1525.00	'>=1000'	'4<=X<7'	4.00	'female div/dep/mar'	none	3.00	car	34.00	none	own	1.00	skilled	2.00	yes	yes	good
'>=200'	36.00	'existing paid'	radio/tv	4473.00	'<100'	'>=7'	4.00	'male single'	none	2.00	car	31.00	none	own	1.00	skilled	1.00	none	yes	good
'0<=X<200'	6.00	'existing paid'	radio/tv	1068.00	'<100'	'>=7'	4.00	'male single'	none	4.00	car	28.00	none	own	1.00	skilled	2.00	none	yes	good
'<0'	24.00	'critical/other existing 	'used car'	6615.00	'<100'	unemployed	2.00	'male single'	none	4.00	'no known property'	75.00	none	'for free'	2.00	'high qualif/self emp/mgm	1.00	yes	yes	good
'no checking'	18.00	'critical/other existing 	education	1864.00	'100<=X<500'	'1<=X<4'	4.00	'female div/dep/mar'	none	2.00	'real estate'	30.00	none	own	2.00	skilled	1.00	none	yes	bad
'0<=X<200'	60.00	'existing paid'	'new car'	7408.00	'100<=X<500'	'<1'	4.00	'female div/dep/mar'	none	2.00	'life insurance'	24.00	none	own	1.00	'high qualif/self emp/mgm	1.00	none	yes	bad
'no checking'	48.00	'critical/other existing 	'used car'	11590.00	'100<=X<500'	'1<=X<4'	2.00	'female div/dep/mar'	none	4.00	car	24.00	bank	rent	2.00	'unskilled resident'	1.00	none	yes	bad
'<0'	24.00	'no credits/all paid'	furniture/equipment	4110.00	'<100'	'>=7'	3.00	'male single'	none	4.00	'no known property'	23.00	bank	rent	2.00	skilled	2.00	none	yes	bad
'<0'	6.00	'critical/other existing 	furniture/equipment	3384.00	'<100'	'1<=X<4'	1.00	'male div/sep'	none	4.00	'real estate'	44.00	none	rent	1.00	'high qualif/self emp/mgm	1.00	yes	yes	bad
'0<=X<200'	13.00	'existing paid'	radio/tv	2101.00	'<100'	'<1'	2.00	'female div/dep/mar'	guarantor	4.00	'life insurance'	23.00	none	own	1.00	'unskilled resident'	1.00	none	yes	good
'<0'	15.00	'existing paid'	'domestic appliance'	1275.00	'no known savings'	'1<=X<4'	4.00	'female div/dep/mar'	none	2.00	car	24.00	none	rent	1.00	skilled	1.00	none	yes	bad
'<0'	24.00	'existing paid'	furniture/equipment	4169.00	'<100'	'1<=X<4'	4.00	'male single'	none	4.00	'life insurance'	28.00	none	own	1.00	skilled	1.00	none	yes	good
'0<=X<200'	10.00	'existing paid'	furniture/equipment	1521.00	'<100'	'1<=X<4'	4.00	'male div/sep'	none	2.00	car	31.00	none	own	1.00	'unskilled resident'	1.00	none	yes	good
'0<=X<200'	24.00	'critical/other existing 	education	5743.00	'<100'	'<1'	2.00	'female div/dep/mar'	none	4.00	'no known property'	24.00	none	'for free'	2.00	skilled	1.00	yes	yes	good
'<0'	21.00	'existing paid'	furniture/equipment	3599.00	'<100'	'4<=X<7'	1.00	'female div/dep/mar'	none	4.00	car	26.00	none	rent	1.00	'unskilled resident'	1.00	none	yes	good
'0<=X<200'	18.00	'existing paid'	radio/tv	3213.00	'500<=X<1000'	'<1'	1.00	'male mar/wid'	none	3.00	'real estate'	25.00	none	rent	1.00	skilled	1.00	none	yes	good
'0<=X<200'	18.00	'existing paid'	business	4439.00	'<100'	'>=7'	1.00	'male single'	'co applicant'	1.00	'real estate'	33.00	bank	own	1.00	'high qualif/self emp/mgm	1.00	yes	yes	good
'>=200'	10.00	'existing paid'	'new car'	3949.00	'<100'	'<1'	1.00	'male single'	guarantor	1.00	'life insurance'	37.00	none	own	1.00	'unskilled resident'	2.00	none	yes	good
'no checking'	15.00	'critical/other existing 	radio/tv	1459.00	'<100'	'1<=X<4'	4.00	'female div/dep/mar'	none	2.00	car	43.00	none	own	1.00	'unskilled resident'	1.00	none	yes	good
'0<=X<200'	13.00	'critical/other existing 	radio/tv	882.00	'<100'	'<1'	4.00	'male single'	guarantor	4.00	'real estate'	23.00	none	own	2.00	skilled	1.00	none	yes	good
'0<=X<200'	24.00	'existing paid'	radio/tv	3758.00	'500<=X<1000'	unemployed	1.00	'female div/dep/mar'	none	4.00	'no known property'	23.00	none	rent	1.00	'unemp/unskilled non res'	1.00	none	yes	good
'no checking'	6.00	'delayed previously'	business	1743.00	'100<=X<500'	'1<=X<4'	1.00	'male single'	none	2.00	'real estate'	34.00	none	own	2.00	'unskilled resident'	1.00	none	yes	good
'0<=X<200'	9.00	'critical/other existing 	education	1136.00	'>=1000'	'>=7'	4.00	'male single'	none	3.00	'no known property'	32.00	none	'for free'	2.00	skilled	2.00	none	yes	bad
'no checking'	9.00	'existing paid'	'domestic appliance'	1236.00	'<100'	'<1'	1.00	'female div/dep/mar'	none	4.00	'real estate'	23.00	none	rent	1.00	skilled	1.00	yes	yes	good
'0<=X<200'	9.00	'existing paid'	furniture/equipment	959.00	'<100'	'1<=X<4'	1.00	'female div/dep/mar'	none	2.00	car	29.00	none	own	1.00	skilled	1.00	none	no	bad
'no checking'	18.00	'critical/other existing 	'used car'	3229.00	'no known savings'	unemployed	2.00	'male single'	none	4.00	'no known property'	38.00	none	own	1.00	'high qualif/self emp/mgm	1.00	yes	yes	good
'<0'	12.00	'no credits/all paid'	radio/tv	6199.00	'<100'	'1<=X<4'	4.00	'male single'	none	2.00	'life insurance'	28.00	none	rent	2.00	skilled	1.00	yes	yes	bad
'no checking'	10.00	'existing paid'	education	727.00	'500<=X<1000'	'>=7'	4.00	'male single'	none	4.00	'no known property'	46.00	none	'for free'	1.00	skilled	1.00	yes	yes	good
'0<=X<200'	24.00	'existing paid'	'new car'	1246.00	'<100'	'<1'	4.00	'male single'	none	2.00	'real estate'	23.00	stores	own	1.00	'unskilled resident'	1.00	none	yes	bad
'no checking'	12.00	'critical/other existing 	radio/tv	2331.00	'no known savings'	'>=7'	1.00	'male single'	'co applicant'	4.00	'real estate'	49.00	none	own	1.00	skilled	1.00	yes	yes	good
'no checking'	36.00	'delayed previously'	radio/tv	4463.00	'<100'	'1<=X<4'	4.00	'male single'	none	2.00	car	26.00	none	own	2.00	'high qualif/self emp/mgm	1.00	yes	yes	bad
'no checking'	12.00	'existing paid'	radio/tv	776.00	'<100'	'1<=X<4'	4.00	'male mar/wid'	none	2.00	'real estate'	28.00	none	own	1.00	skilled	1.00	none	yes	good
'<0'	30.00	'existing paid'	furniture/equipment	2406.00	'<100'	'4<=X<7'	4.00	'female div/dep/mar'	none	4.00	'real estate'	23.00	none	rent	1.00	skilled	1.00	none	yes	bad
'0<=X<200'	18.00	'existing paid'	education	1239.00	'no known savings'	'1<=X<4'	4.00	'male single'	none	4.00	'no known property'	61.00	none	'for free'	1.00	skilled	1.00	none	yes	good
'>=200'	12.00	'existing paid'	radio/tv	3399.00	'no known savings'	'>=7'	2.00	'male single'	none	3.00	car	37.00	none	own	1.00	'high qualif/self emp/mgm	1.00	none	yes	good
'>=200'	12.00	'delayed previously'	'new car'	2247.00	'<100'	'1<=X<4'	2.00	'female div/dep/mar'	none	2.00	car	36.00	stores	own	2.00	skilled	1.00	yes	yes	good
'no checking'	6.00	'existing paid'	furniture/equipment	1766.00	'<100'	'1<=X<4'	1.00	'male mar/wid'	none	2.00	'life insurance'	21.00	none	rent	1.00	skilled	1.00	none	yes	good
'<0'	18.00	'existing paid'	furniture/equipment	2473.00	'<100'	unemployed	4.00	'male single'	none	1.00	car	25.00	none	own	1.00	'unemp/unskilled non res'	1.00	none	yes	bad
'no checking'	12.00	'existing paid'	business	1542.00	'<100'	'4<=X<7'	2.00	'male single'	none	4.00	car	36.00	none	own	1.00	skilled	1.00	yes	yes	good
'no checking'	18.00	'critical/other existing 	'used car'	3850.00	'<100'	'4<=X<7'	3.00	'male single'	none	1.00	car	27.00	none	own	2.00	skilled	1.00	none	yes	good
'<0'	18.00	'existing paid'	furniture/equipment	3650.00	'<100'	'<1'	1.00	'female div/dep/mar'	none	4.00	car	22.00	none	rent	1.00	skilled	1.00	none	yes	good
'<0'	36.00	'existing paid'	furniture/equipment	3446.00	'<100'	'>=7'	4.00	'male single'	none	2.00	car	42.00	none	own	1.00	skilled	2.00	none	yes	bad
'0<=X<200'	18.00	'existing paid'	furniture/equipment	3001.00	'<100'	'4<=X<7'	2.00	'female div/dep/mar'	none	4.00	'real estate'	40.00	none	rent	1.00	skilled	1.00	none	yes	good
'no checking'	36.00	'existing paid'	'new car'	3079.00	'no known savings'	'1<=X<4'	4.00	'male single'	none	4.00	'real estate'	36.00	none	own	1.00	skilled	1.00	none	yes	good
'no checking'	18.00	'critical/other existing 	radio/tv	6070.00	'<100'	'>=7'	3.00	'male single'	none	4.00	car	33.00	none	own	2.00	skilled	1.00	yes	yes	good
'no checking'	10.00	'critical/other existing 	furniture/equipment	2146.00	'<100'	'<1'	1.00	'female div/dep/mar'	none	3.00	'real estate'	23.00	none	rent	2.00	skilled	1.00	none	yes	good
'no checking'	60.00	'critical/other existing 	'new car'	13756.00	'no known savings'	'>=7'	2.00	'male single'	none	4.00	'no known property'	63.00	bank	'for free'	1.00	'high qualif/self emp/mgm	1.00	yes	yes	good
'0<=X<200'	60.00	'all paid'	other	14782.00	'100<=X<500'	'>=7'	3.00	'female div/dep/mar'	none	4.00	'no known property'	60.00	bank	'for free'	2.00	'high qualif/self emp/mgm	1.00	yes	yes	bad
'<0'	48.00	'all paid'	business	7685.00	'<100'	'4<=X<7'	2.00	'female div/dep/mar'	guarantor	4.00	car	37.00	none	rent	1.00	skilled	1.00	none	yes	bad
'no checking'	18.00	'delayed previously'	radio/tv	2320.00	'<100'	unemployed	2.00	'male mar/wid'	none	3.00	'real estate'	34.00	none	own	2.00	skilled	1.00	none	yes	good
'no checking'	7.00	'delayed previously'	radio/tv	846.00	'no known savings'	'>=7'	3.00	'male single'	none	4.00	'no known property'	36.00	none	'for free'	1.00	skilled	1.00	none	yes	good
'0<=X<200'	36.00	'existing paid'	'new car'	14318.00	'<100'	'>=7'	4.00	'male single'	none	2.00	'no known property'	57.00	none	'for free'	1.00	'high qualif/self emp/mgm	1.00	yes	yes	bad
'no checking'	6.00	'critical/other existing 	'new car'	362.00	'100<=X<500'	'1<=X<4'	4.00	'female div/dep/mar'	none	4.00	car	52.00	none	own	2.00	'unskilled resident'	1.00	none	yes	good
'<0'	20.00	'existing paid'	furniture/equipment	2212.00	'no known savings'	'4<=X<7'	4.00	'male single'	none	4.00	car	39.00	none	own	1.00	skilled	1.00	yes	yes	good
'0<=X<200'	18.00	'existing paid'	'used car'	12976.00	'<100'	unemployed	3.00	'female div/dep/mar'	none	4.00	'no known property'	38.00	none	'for free'	1.00	'high qualif/self emp/mgm	1.00	yes	yes	bad
'no checking'	22.00	'existing paid'	'new car'	1283.00	'no known savings'	'4<=X<7'	4.00	'female div/dep/mar'	none	4.00	'life insurance'	25.00	none	rent	1.00	skilled	1.00	none	yes	good
'>=200'	12.00	'existing paid'	'new car'	1330.00	'<100'	'<1'	4.00	'male single'	none	1.00	'real estate'	26.00	none	own	1.00	skilled	1.00	none	yes	good
'no checking'	30.00	'delayed previously'	business	4272.00	'100<=X<500'	'1<=X<4'	2.00	'male single'	none	2.00	'life insurance'	26.00	none	own	2.00	'unskilled resident'	1.00	none	yes	good
'no checking'	18.00	'critical/other existing 	radio/tv	2238.00	'<100'	'1<=X<4'	2.00	'female div/dep/mar'	none	1.00	car	25.00	none	own	2.00	skilled	1.00	none	yes	good
'no checking'	18.00	'existing paid'	radio/tv	1126.00	'no known savings'	'<1'	4.00	'female div/dep/mar'	none	2.00	'real estate'	21.00	none	rent	1.00	skilled	1.00	yes	yes	good
'0<=X<200'	18.00	'critical/other existing 	furniture/equipment	7374.00	'<100'	unemployed	4.00	'male single'	none	4.00	'life insurance'	40.00	stores	own	2.00	'high qualif/self emp/mgm	1.00	yes	yes	good
'0<=X<200'	15.00	'critical/other existing 	business	2326.00	'500<=X<1000'	'1<=X<4'	2.00	'male single'	none	4.00	car	27.00	bank	own	1.00	skilled	1.00	none	yes	good
'no checking'	9.00	'existing paid'	business	1449.00	'<100'	'4<=X<7'	3.00	'female div/dep/mar'	none	2.00	car	27.00	none	own	2.00	skilled	1.00	none	yes	good
'no checking'	18.00	'existing paid'	'new car'	1820.00	'<100'	'1<=X<4'	2.00	'male mar/wid'	none	2.00	'life insurance'	30.00	none	own	1.00	'high qualif/self emp/mgm	1.00	yes	yes	good
'0<=X<200'	12.00	'existing paid'	furniture/equipment	983.00	'>=1000'	'<1'	1.00	'female div/dep/mar'	none	4.00	'real estate'	19.00	none	rent	1.00	'unskilled resident'	1.00	none	yes	good
'<0'	36.00	'existing paid'	'new car'	3249.00	'<100'	'4<=X<7'	2.00	'male single'	none	4.00	'no known property'	39.00	bank	'for free'	1.00	'high qualif/self emp/mgm	2.00	yes	yes	good
'<0'	6.00	'critical/other existing 	radio/tv	1957.00	'<100'	'4<=X<7'	1.00	'female div/dep/mar'	none	4.00	car	31.00	none	own	1.00	skilled	1.00	none	yes	good
'no checking'	9.00	'critical/other existing 	furniture/equipment	2406.00	'<100'	unemployed	2.00	'male single'	none	3.00	car	31.00	none	own	1.00	'high qualif/self emp/mgm	1.00	none	yes	good
'0<=X<200'	39.00	'delayed previously'	education	11760.00	'100<=X<500'	'4<=X<7'	2.00	'male single'	none	3.00	'no known property'	32.00	none	rent	1.00	skilled	1.00	yes	yes	good
'<0'	12.00	'existing paid'	furniture/equipment	2578.00	'<100'	unemployed	3.00	'female div/dep/mar'	none	4.00	'no known property'	55.00	none	'for free'	1.00	'high qualif/self emp/mgm	1.00	none	yes	good
'<0'	36.00	'critical/other existing 	furniture/equipment	2348.00	'<100'	'1<=X<4'	3.00	'male mar/wid'	none	2.00	'life insurance'	46.00	none	own	2.00	skilled	1.00	yes	yes	good
'0<=X<200'	12.00	'existing paid'	'new car'	1223.00	'<100'	'>=7'	1.00	'male div/sep'	none	1.00	'real estate'	46.00	none	rent	2.00	skilled	1.00	none	yes	bad
'no checking'	24.00	'critical/other existing 	radio/tv	1516.00	'>=1000'	'1<=X<4'	4.00	'female div/dep/mar'	none	1.00	'real estate'	43.00	none	own	2.00	'unskilled resident'	1.00	none	yes	good
'no checking'	18.00	'existing paid'	radio/tv	1473.00	'<100'	'<1'	3.00	'male mar/wid'	none	4.00	'real estate'	39.00	none	own	1.00	skilled	1.00	yes	yes	good
'0<=X<200'	18.00	'critical/other existing 	business	1887.00	'no known savings'	'1<=X<4'	4.00	'male mar/wid'	none	4.00	'real estate'	28.00	bank	own	2.00	skilled	1.00	none	yes	good
'no checking'	24.00	'delayed previously'	business	8648.00	'<100'	'<1'	2.00	'male single'	none	2.00	car	27.00	bank	own	2.00	skilled	1.00	yes	yes	bad
'no checking'	14.00	'delayed previously'	'new car'	802.00	'<100'	'1<=X<4'	4.00	'male single'	none	2.00	car	27.00	none	own	2.00	'unskilled resident'	1.00	none	yes	good
'0<=X<200'	18.00	'delayed previously'	'new car'	2899.00	'no known savings'	'>=7'	4.00	'male single'	none	4.00	car	43.00	none	own	1.00	skilled	2.00	none	yes	good
'0<=X<200'	24.00	'existing paid'	radio/tv	2039.00	'<100'	'<1'	1.00	'male mar/wid'	none	1.00	'life insurance'	22.00	none	own	1.00	skilled	1.00	yes	yes	bad
'no checking'	24.00	'critical/other existing 	'used car'	2197.00	'no known savings'	'4<=X<7'	4.00	'male single'	none	4.00	car	43.00	none	own	2.00	skilled	2.00	yes	yes	good
'<0'	15.00	'existing paid'	radio/tv	1053.00	'<100'	'<1'	4.00	'male mar/wid'	none	2.00	'real estate'	27.00	none	own	1.00	skilled	1.00	none	no	good
'no checking'	24.00	'existing paid'	radio/tv	3235.00	'500<=X<1000'	'>=7'	3.00	'male div/sep'	none	2.00	car	26.00	none	own	1.00	'high qualif/self emp/mgm	1.00	yes	yes	good
'>=200'	12.00	'critical/other existing 	'new car'	939.00	'500<=X<1000'	'4<=X<7'	4.00	'male mar/wid'	none	2.00	'real estate'	28.00	none	own	3.00	skilled	1.00	yes	yes	bad
'0<=X<200'	24.00	'existing paid'	radio/tv	1967.00	'<100'	'>=7'	4.00	'female div/dep/mar'	none	4.00	car	20.00	none	own	1.00	skilled	1.00	yes	yes	good
'no checking'	33.00	'critical/other existing 	'used car'	7253.00	'<100'	'4<=X<7'	3.00	'male single'	none	2.00	car	35.00	none	own	2.00	'high qualif/self emp/mgm	1.00	yes	yes	good
'no checking'	12.00	'critical/other existing 	business	2292.00	'<100'	unemployed	4.00	'male single'	none	2.00	car	42.00	stores	own	2.00	'high qualif/self emp/mgm	1.00	yes	yes	bad
'no checking'	10.00	'existing paid'	'new car'	1597.00	'500<=X<1000'	'1<=X<4'	3.00	'male single'	none	2.00	'no known property'	40.00	none	rent	1.00	'unskilled resident'	2.00	none	no	good
'<0'	24.00	'existing paid'	'new car'	1381.00	'no known savings'	'1<=X<4'	4.00	'female div/dep/mar'	none	2.00	'life insurance'	35.00	none	own	1.00	skilled	1.00	none	yes	bad
'no checking'	36.00	'critical/other existing 	'used car'	5842.00	'<100'	'>=7'	2.00	'male single'	none	2.00	'life insurance'	35.00	none	own	2.00	skilled	2.00	yes	yes	good
'<0'	12.00	'existing paid'	'new car'	2579.00	'<100'	'<1'	4.00	'male single'	none	1.00	'real estate'	33.00	none	own	1.00	'unskilled resident'	2.00	none	yes	bad
'<0'	18.00	'delayed previously'	education	8471.00	'no known savings'	'1<=X<4'	1.00	'female div/dep/mar'	none	2.00	car	23.00	none	rent	2.00	skilled	1.00	yes	yes	good
'no checking'	21.00	'existing paid'	'new car'	2782.00	'500<=X<1000'	'4<=X<7'	1.00	'female div/dep/mar'	none	2.00	car	31.00	bank	own	1.00	'high qualif/self emp/mgm	1.00	none	yes	good
'0<=X<200'	18.00	'existing paid'	'new car'	1042.00	'no known savings'	'1<=X<4'	4.00	'female div/dep/mar'	none	2.00	'life insurance'	33.00	none	own	1.00	skilled	1.00	none	yes	bad
'no checking'	15.00	'existing paid'	'new car'	3186.00	'>=1000'	'4<=X<7'	2.00	'female div/dep/mar'	none	3.00	car	20.00	none	rent	1.00	skilled	1.00	none	yes	good
'0<=X<200'	12.00	'existing paid'	'used car'	2028.00	'no known savings'	'1<=X<4'	4.00	'male single'	none	2.00	car	30.00	none	own	1.00	skilled	1.00	none	yes	good
'0<=X<200'	12.00	'critical/other existing 	'new car'	958.00	'<100'	'4<=X<7'	2.00	'male single'	none	3.00	'real estate'	47.00	none	own	2.00	'unskilled resident'	2.00	none	yes	good
'no checking'	21.00	'delayed previously'	furniture/equipment	1591.00	'100<=X<500'	'4<=X<7'	4.00	'male single'	none	3.00	'real estate'	34.00	none	own	2.00	'high qualif/self emp/mgm	1.00	none	yes	good
'0<=X<200'	12.00	'existing paid'	furniture/equipment	2762.00	'no known savings'	'>=7'	1.00	'female div/dep/mar'	none	2.00	'life insurance'	25.00	bank	own	1.00	skilled	1.00	yes	yes	bad
'0<=X<200'	18.00	'existing paid'	'used car'	2779.00	'<100'	'1<=X<4'	1.00	'male mar/wid'	none	3.00	car	21.00	none	rent	1.00	skilled	1.00	yes	yes	good
'no checking'	28.00	'critical/other existing 	radio/tv	2743.00	'<100'	'>=7'	4.00	'male single'	none	2.00	car	29.00	none	own	2.00	skilled	1.00	none	yes	good
'no checking'	18.00	'critical/other existing 	radio/tv	1149.00	'>=1000'	'1<=X<4'	4.00	'male single'	none	3.00	'real estate'	46.00	none	own	2.00	skilled	1.00	none	yes	good
'no checking'	9.00	'existing paid'	furniture/equipment	1313.00	'<100'	'>=7'	1.00	'male single'	none	4.00	car	20.00	none	own	1.00	skilled	1.00	none	yes	good
'<0'	18.00	'critical/other existing 	repairs	1190.00	'<100'	unemployed	2.00	'female div/dep/mar'	none	4.00	'no known property'	55.00	none	'for free'	3.00	'unemp/unskilled non res'	2.00	none	yes	bad
'no checking'	5.00	'existing paid'	business	3448.00	'<100'	'4<=X<7'	1.00	'male single'	none	4.00	'real estate'	74.00	none	own	1.00	'unskilled resident'	1.00	none	yes	good
'0<=X<200'	24.00	'existing paid'	other	11328.00	'<100'	'1<=X<4'	2.00	'male single'	'co applicant'	3.00	car	29.00	bank	own	2.00	'high qualif/self emp/mgm	1.00	yes	yes	bad
'<0'	6.00	'critical/other existing 	furniture/equipment	1872.00	'<100'	unemployed	4.00	'male single'	none	4.00	'no known property'	36.00	none	'for free'	3.00	'high qualif/self emp/mgm	1.00	yes	yes	good
